plate_id,plate_index,row,column,sample_id,sample_id2,species,reassign,rename,sex,latitude,longitude,year,month
plate1,1,A,1,kac_016,kac016,terrestris,terrestris,kac016_terrestris,?,30.548191,-86.930668,2018,5
plate1,2,A,2,kac_038,kac038,terrestris,terrestris,kac038_terrestris,f,32.814696,-86.939677,2018,5
plate1,3,A,3,kac_039,kac039,terrestris,terrestris,kac039_terrestris,m,32.810938,-86.989673,2018,5
plate1,4,A,4,kac_040,kac040,terrestris,terrestris,kac040_terrestris,f,32.809854,-86.997946,2018,5
plate1,5,A,5,t_2015,t2015,americanus,americanus,t2015_americanus,m,33.584347,-85.740643,2018,?
plate1,6,A,6,kac_042,kac042,terrestris,terrestris,kac042_terrestris,f,32.824061,-86.993138,2018,5
plate1,7,A,7,kac_043,kac043,terrestris,terrestris,kac043_terrestris,j,32.824061,-86.993138,2018,5
plate1,8,A,8,kac_044,kac044,terrestris,terrestris,kac044_terrestris,m,32.804496,-87.030779,2018,5
plate1,9,A,9,kac_045,kac045,terrestris,terrestris,kac045_terrestris,f,32.767027,-87.070731,2018,5
plate1,10,A,10,kac_046,kac046,terrestris,terrestris,kac046_terrestris,f,32.765918,-87.071843,2018,5
plate1,11,A,11,kac_047,kac047,terrestris,terrestris,kac047_terrestris,f,32.78932,-86.908503,2018,5
plate1,12,A,12,kac_048,kac048,terrestris,terrestris,kac048_terrestris,m,32.735748,-86.881494,2018,5
plate1,13,B,1,kac_049,kac049,terrestris,terrestris,kac049_terrestris,f,32.732909,-86.877073,2018,5
plate1,14,B,2,kac_050,kac050,terrestris,terrestris,kac050_terrestris,f,32.748216,-86.798059,2018,5
plate1,15,B,3,kac_051,kac051,terrestris,terrestris,kac051_terrestris,m,32.787421,-86.758471,2018,5
plate1,16,B,4,kac_052,kac052,terrestris,terrestris,kac052_terrestris,j,32.780439,-86.73877,2018,5
plate1,17,B,5,kac_053,kac053,terrestris,fowleri,kac053_fowleri,j,32.780439,-86.73877,2018,5
plate1,18,B,6,kac_065,kac065,terrestris,terrestris,kac065_terrestris,j,30.432818,-81.640876,2018,8
plate1,19,B,7,kac_066,kac066,terrestris,terrestris,kac066_terrestris,j,30.432818,-81.640876,2018,8
plate1,20,B,8,kac_067,kac067,terrestris,terrestris,kac067_terrestris,j,30.432818,-81.640876,2018,8
plate1,21,B,9,kac_070,kac070,americanus,americanus,kac070_americanus,f,34.799628,-84.576776,2018,9
plate1,22,B,10,kac_071,kac071,terrestris,terrestris,kac071_terrestris,m,32.434779,-85.6463,2018,10
plate1,23,B,11,kac_074,kac074,terrestris,terrestris,kac074_terrestris,j,30.7743,-85.2269,2018,11
plate1,24,B,12,kac_075,kac075,americanus,terrestris,kac075_terrestris,m,32.94778,-86.632244,2019,2
plate1,25,C,1,kac_076,kac076,terrestris,terrestris,kac076_terrestris,m,32.949704,-86.526874,2019,2
plate1,26,C,2,kac_077,kac077,terrestris,terrestris,kac077_terrestris,m,32.949704,-86.526874,2019,2
plate1,27,C,3,kac_078,kac078,americanus,americanus,kac078_americanus,m,33.002665,-86.389597,2019,2
plate1,28,C,4,kac_079,kac079,americanus,americanus,kac079_americanus,m,33.012055,-86.478723,2019,2
plate1,29,C,5,kac_080,kac080,americanus,americanus,kac080_americanus,m,33.044558,-86.455469,2019,2
plate1,30,C,6,kac_081,kac081,americanus,americanus,kac081_americanus,f,33.044558,-86.455469,2019,2
plate1,31,C,7,kac_082,kac082,americanus,americanus,kac082_americanus,m,33.044558,-86.455469,2019,2
plate1,32,C,8,kac_083,kac083,americanus,americanus,kac083_americanus,m,33.044558,-86.455469,2019,2
plate1,33,C,9,kac_084,kac084,americanus,americanus,kac084_americanus,m,33.044558,-86.455469,2019,2
plate1,34,C,10,kac_085,kac085,americanus,americanus,kac085_americanus,m,33.044558,-86.455469,2019,2
plate1,35,C,11,kac_086,kac086,americanus,americanus,kac086_americanus,m,33.044558,-86.455469,2019,2
plate1,36,C,12,kac_087,kac087,americanus,americanus,kac087_americanus,m,33.014843,-86.390403,2019,2
plate1,37,D,1,kac_060,kac060,speciosus,speciosus,kac060_speciosus,?,27.691851,-99.719553,2018,6
plate1,38,D,2,kac_089,kac089,americanus,americanus,kac089_americanus,m,33.014843,-86.390403,2019,2
plate1,39,D,3,kac_090,kac090,americanus,americanus,kac090_americanus,m,33.064717,-86.474958,2019,2
plate1,40,D,4,kac_091,kac091,americanus,americanus,kac091_americanus,f,33.064717,-86.474958,2019,2
plate1,41,D,5,kac_092,kac092,americanus,americanus,kac092_americanus,m,33.064717,-86.474958,2019,2
plate1,42,D,6,kac_093,kac093,americanus,americanus,kac093_americanus,m,33.064717,-86.474958,2019,2
plate1,43,D,7,kac_094,kac094,americanus,americanus,kac094_americanus,m,33.064717,-86.474958,2019,2
plate1,44,D,8,kac_095,kac095,americanus,americanus,kac095_americanus,m,33.064717,-86.474958,2019,2
plate1,45,D,9,kac_096,kac096,americanus,americanus,kac096_americanus,m,33.064717,-86.474958,2019,2
plate1,46,D,10,kac_097,kac097,americanus,americanus,kac097_americanus,f,33.064717,-86.474958,2019,2
plate1,47,D,11,kac_098,kac098,americanus,americanus,kac098_americanus,f,33.025724,-86.467107,2019,2
plate1,48,D,12,kac_099,kac099,americanus,americanus,kac099_americanus,f,33.025724,-86.467107,2019,2
plate1,49,E,1,kac_100,kac100,terrestris,terrestris,kac100_terrestris,m,32.923743,-86.671995,2019,2
plate1,50,E,2,kac_101,kac101,americanus,americanus,kac101_americanus,f,33.032829,-86.459752,2019,2
plate1,51,E,3,kac_102,kac102,terrestris,terrestris,kac102_terrestris,m,32.945435,-86.557771,2019,2
plate1,52,E,4,kac_103,kac103,terrestris,terrestris,kac103_terrestris,f,32.94947,-86.526299,2019,2
plate1,53,E,5,kac_104,kac104,terrestris,terrestris,kac104_terrestris,f,32.94947,-86.526299,2019,2
plate1,54,E,6,kac_105,kac105,americanus,americanus,kac105_americanus,f,33.042782,-86.453772,2019,2
plate1,55,E,7,kac_106,kac106,americanus,americanus,kac106_americanus,f,33.004635,-86.49692,2019,2
plate1,56,E,8,kac_107,kac107,americanus,americanus,kac107_americanus,f,33.014161,-86.384167,2019,2
plate1,57,E,9,kac_108,kac108,terrestris,terrestris,kac108_terrestris,m,32.940128,-86.540042,2019,2
