plate_id,plate_index,row,column,id,sample_id,genus,species,rename,sex,latitude,longitude,year,month
plate3,49,E,1,AHT 1975,aht1975,Anaxyrus,americanus,aht1975_americanus,,32.77356389,-85.53325,,
plate3,50,E,2,AHT 2456,aht2456,Anaxyrus,terrestris,aht2456_terrestris,,32.194943,-89.236288,,
plate3,52,E,4,AHT 2564,aht2564,Anaxyrus,terrestris,aht2564_terrestris,,31.55752,-84.04267,,
plate3,53,E,5,AHT 2885,aht2885,Anaxyrus,terrestris,aht2885_terrestris,,32.450895,-86.15934,,
plate3,55,E,7,AHT 3419,aht3419,Anaxyrus,terrestris,aht3419_terrestris,,33.6729,-88.16068,,
plate3,56,E,8,AHT 3421,aht3421,Anaxyrus,terrestris,aht3421_terrestris,,33.6542,-88.1558,,
plate3,57,E,9,AHT 3428,aht3428,Anaxyrus,terrestris,aht3428_terrestris,,31.12679,-86.54755,,
plate3,58,E,10,AHT 3459,aht3459,Anaxyrus,americanus,aht3459_americanus,,34.88028,-87.71849,,
plate3,59,E,11,AHT 3460,aht3460,Anaxyrus,americanus,aht3460_americanus,,33.78013,-85.58421,,
plate3,60,E,12,AHT 3461,aht3461,Anaxyrus,americanus,aht3461_americanus,,34.88779,-87.74103,,
plate3,61,F,1,AHT 3462,aht3462,Anaxyrus,americanus,aht3462_americanus,,33.77001,-85.55434,,
plate3,62,F,2,AHT 3463,aht3463,Anaxyrus,americanus,aht3463_americanus,,33.71125,-85.59762,,
plate3,65,F,5,AHT 3813,aht3813,Anaxyrus,terrestris,aht3813_terrestris,,31.13854,-86.53906,,
plate3,66,F,6,AHT 3833,aht3833,Anaxyrus,terrestris,aht3833_terrestris,,31.00422,-85.03427,,
plate3,67,F,7,AHT 3997,aht3997,Anaxyrus,terrestris,aht3997_terrestris,,32.556071,-88.299749,,
plate3,68,F,8,AHT 3998,aht3998,Anaxyrus,terrestris,aht3998_terrestris,,32.556071,-88.299749,,
plate3,70,F,10,AHT 5276,aht5276,Anaxyrus,terrestris,aht5276_terrestris,,31.556127,-86.825138,,
