plate_id,plate_index,row,column,id,sample_id,genus,species,rename,sex,latitude,longitude,year,month
plate3,51,E,3,AHT 2544,aht2544,Anaxyrus,quercicus,aht2544_quercicus,,30.99523,-86.23332,,
plate3,52,E,4,AHT 2564,aht2564,Anaxyrus,terrestris,aht2564_terrestris,,31.55752,-84.04267,,
plate3,54,E,6,AHT 3413,aht3413,Anaxyrus,fowleri,aht3413_fowleri,,33.3694,-88.12941,,
plate3,57,E,9,AHT 3428,aht3428,Anaxyrus,terrestris,aht3428_terrestris,,31.12679,-86.54755,,
plate3,58,E,10,AHT 3459,aht3459,Anaxyrus,americanus,aht3459_americanus,,34.88028,-87.71849,,
plate3,59,E,11,AHT 3460,aht3460,Anaxyrus,americanus,aht3460_americanus,,33.78013,-85.58421,,
plate3,60,E,12,AHT 3461,aht3461,Anaxyrus,americanus,aht3461_americanus,,34.88779,-87.74103,,
plate3,61,F,1,AHT 3462,aht3462,Anaxyrus,americanus,aht3462_americanus,,33.77001,-85.55434,,
plate3,62,F,2,AHT 3463,aht3463,Anaxyrus,americanus,aht3463_americanus,,33.71125,-85.59762,,
plate3,63,F,3,AHT 3658,aht3658,Anaxyrus,fowleri,aht3658_fowleri,,32.85842,-86.39697,,
plate3,64,F,4,AHT 3665,aht3665,Anaxyrus,fowleri,aht3665_fowleri,,32.8122,-86.17698,,
plate3,65,F,5,AHT 3813,aht3813,Anaxyrus,terrestris,aht3813_terrestris,,31.13854,-86.53906,,
plate3,66,F,6,AHT 3833,aht3833,Anaxyrus,terrestris,aht3833_terrestris,,31.00422,-85.03427,,
plate3,69,F,9,AHT 4373,aht4373,Anaxyrus,americanus,aht4373_americanus,,38.9491342,-95.3981792,,
plate3,70,F,10,AHT 5276,aht5276,Anaxyrus,terrestris,aht5276_terrestris,,31.556127,-86.825138,,
plate3,71,F,11,AHT 5277,aht5277,Anaxyrus,terrestris,aht5277_terrestris,,31.158302,-86.554303,,
plate3,72,F,12,AHT 5278,aht5278,Anaxyrus,terrestris,aht5278_terrestris,,31.16105,-86.69868,,
plate3,73,G,1,HERA 10025,hera10025,Anaxyrus,fowleri,hera10025_fowleri,,37.11150607,-84.11811984,,
plate3,74,G,2,HERA 10233,hera10233,Anaxyrus,americanus,hera10233_americanus,,39.86452751,-85.01036538,,
plate3,75,G,3,HERA 10239,hera10239,Anaxyrus,americanus,hera10239_americanus,,38.99151321,-92.31077915,,
plate3,76,G,4,HERA 10248,hera10248,Anaxyrus,americanus,hera10248_americanus,,41.27318745,-73.38973589,,
