,Sample-id,ng/ul,1,2,3,4,5,
AHT,1975,97,3.85,7.7,11.55,15.4,19.25,
AHT,2456,247,11.35,22.7,34.05,45.4,56.75,
AHT,2533,167,7.35,14.7,22.05,29.4,36.75,
AHT,2534,65,2.25,4.5,6.75,9,11.25,
AHT,2535,96,3.8,7.6,11.4,15.2,19,
AHT,2536,134,5.7,11.4,17.1,22.8,28.5,
AHT,2544,98,3.9,7.8,11.7,15.6,19.5,
AHT,2545,80,3,6,9,12,15,
AHT,2564,137,5.85,11.7,17.55,23.4,29.25,
AHT,2885,219,9.95,19.9,29.85,39.8,49.75,
AHT,3010,5,-0.75,-1.5,-2.25,-3,-3.75,
AHT,3413,135,5.75,11.5,17.25,23,28.75,
AHT,3419,54,1.7,3.4,5.1,6.8,8.5,
AHT,3420,12,-0.4,-0.8,-1.2,-1.6,-2,
AHT,3421,161,7.05,14.1,21.15,28.2,35.25,
AHT,3428,142,6.1,12.2,18.3,24.4,30.5,
AHT,3459,75,2.75,5.5,8.25,11,13.75,
AHT,3460,88,3.4,6.8,10.2,13.6,17,
AHT,3461,157,6.85,13.7,20.55,27.4,34.25,
AHT,3462,77,2.85,5.7,8.55,11.4,14.25,
AHT,3463,384,18.2,36.4,54.6,72.8,91,
AHT,3658,112,4.6,9.2,13.8,18.4,23,
AHT,3665,28.3,0.415,0.83,1.245,1.66,2.075,
AHT,3813,46,1.3,2.6,3.9,5.2,6.5,
AHT,3833,17,-0.15,-0.3,-0.45,-0.6,-0.75,
AHT,3853,92,3.6,7.2,10.8,14.4,18,
AHT,3997,84,3.2,6.4,9.6,12.8,16,
AHT,3998,136,5.8,11.6,17.4,23.2,29,
AHT,4373,179,7.95,15.9,23.85,31.8,39.75,
AHT,4441,179,7.95,15.9,23.85,31.8,39.75,
AUHT,5276,240,11,22,33,44,55,
AUHT,5277,113,4.65,9.3,13.95,18.6,23.25,
AUHT,5278,288,13.4,26.8,40.2,53.6,67,
HERA,10025,98,3.9,7.8,11.7,15.6,19.5,
HERA,10233,910,44.5,89,133.5,178,222.5,
HERA,10239,226,10.3,20.6,30.9,41.2,51.5,
HERA,10248,96,3.8,7.6,11.4,15.2,19,
HERA,10255,191,8.55,17.1,25.65,34.2,42.75,
HERA,10350,139,5.95,11.9,17.85,23.8,29.75,
HERA,10372,73,2.65,5.3,7.95,10.6,13.25,
HERA,10396,421,20.05,40.1,60.15,80.2,100.25,
HERA,10484,186,8.3,16.6,24.9,33.2,41.5,
HERA,10493,92,3.6,7.2,10.8,14.4,18,
HERA,11976,41,1.05,2.1,3.15,4.2,5.25,
HERA,13722,33,0.65,1.3,1.95,2.6,3.25,
HERA,14196,23,0.15,0.3,0.45,0.6,0.75,
HERA,14926,45,1.25,2.5,3.75,5,6.25,
HERA,15787,22,0.1,0.2,0.3,0.4,0.5,
HERA,20415,94,3.7,7.4,11.1,14.8,18.5,
HERA,20514,191,8.55,17.1,25.65,34.2,42.75,
INHS,16273,96.3,3.815,7.63,11.445,15.26,19.075,
INHS,17016,202,9.1,18.2,27.3,36.4,45.5,
INHS,19127,64,2.2,4.4,6.6,8.8,11,
INHS,21799,89,3.45,6.9,10.35,13.8,17.25,
KAC,16,27,0.35,0.7,1.05,1.4,1.75,
KAC,38,46,1.3,2.6,3.9,5.2,6.5,
KAC,39,31,0.55,1.1,1.65,2.2,2.75,
KAC,40,30,0.5,1,1.5,2,2.5,
KAC,41,16,-0.2,-0.4,-0.6,-0.8,-1,
KAC,42,37,0.85,1.7,2.55,3.4,4.25,
KAC,43,32,0.6,1.2,1.8,2.4,3,
KAC,44,120,5,10,15,20,25,
KAC,45,54,1.7,3.4,5.1,6.8,8.5,
KAC,46,94,3.7,7.4,11.1,14.8,18.5,
KAC,47,39,0.95,1.9,2.85,3.8,4.75,
KAC,48,127,5.35,10.7,16.05,21.4,26.75,
KAC,49,274,12.7,25.4,38.1,50.8,63.5,
KAC,50,50,1.5,3,4.5,6,7.5,
KAC,51,69,2.45,4.9,7.35,9.8,12.25,
KAC,52,19,-0.05,-0.1,-0.15,-0.2,-0.25,
KAC,53,37,0.85,1.7,2.55,3.4,4.25,
KAC,65,40,1,2,3,4,5,
KAC,66,44,1.2,2.4,3.6,4.8,6,
KAC,67,51,1.55,3.1,4.65,6.2,7.75,
KAC,70,63,2.15,4.3,6.45,8.6,10.75,
KAC,71,82,3.1,6.2,9.3,12.4,15.5,
KAC,74,90,3.5,7,10.5,14,17.5,
KAC,75,161,7.05,14.1,21.15,28.2,35.25,
KAC,76,45,1.25,2.5,3.75,5,6.25,
KAC,77,73,2.65,5.3,7.95,10.6,13.25,
KAC,78,135,5.75,11.5,17.25,23,28.75,
KAC,79,62,2.1,4.2,6.3,8.4,10.5,
KAC,80,106,4.3,8.6,12.9,17.2,21.5,
KAC,81,49,1.45,2.9,4.35,5.8,7.25,
KAC,82,81,3.05,6.1,9.15,12.2,15.25,
KAC,83,72,2.6,5.2,7.8,10.4,13,
KAC,84,64,2.2,4.4,6.6,8.8,11,
KAC,85,18,-0.1,-0.2,-0.3,-0.4,-0.5,
KAC,86,50,1.5,3,4.5,6,7.5,
KAC,87,85,3.25,6.5,9.75,13,16.25,
KAC,88,0,-1,-2,-3,-4,-5,
KAC,89,155,6.75,13.5,20.25,27,33.75,
KAC,90,107,4.35,8.7,13.05,17.4,21.75,
KAC,91,52,1.6,3.2,4.8,6.4,8,
KAC,92,64,2.2,4.4,6.6,8.8,11,
KAC,93,84,3.2,6.4,9.6,12.8,16,
KAC,94,86,3.3,6.6,9.9,13.2,16.5,
KAC,95,54,1.7,3.4,5.1,6.8,8.5,
KAC,96,79,2.95,5.9,8.85,11.8,14.75,
KAC,97,161,7.05,14.1,21.15,28.2,35.25,
KAC,98,94,3.7,7.4,11.1,14.8,18.5,
KAC,99,37,0.85,1.7,2.55,3.4,4.25,
KAC,100,76,2.8,5.6,8.4,11.2,14,
KAC,101,121,5.05,10.1,15.15,20.2,25.25,
KAC,102,79,2.95,5.9,8.85,11.8,14.75,
KAC,103,33,0.65,1.3,1.95,2.6,3.25,
KAC,104,92,3.6,7.2,10.8,14.4,18,
KAC,105,124,5.2,10.4,15.6,20.8,26,
KAC,106,121,5.05,10.1,15.15,20.2,25.25,
KAC,107,157,6.85,13.7,20.55,27.4,34.25,
KAC,108,97,3.85,7.7,11.55,15.4,19.25,
