P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
baxteri	americanus	cognatus	0.0735156	0.521657	0.601909	0.00626732	210.408	23.5604	20.3335
baxteri	americanus	fowleri	0.101055	1.03639	0.300019	0.04186	140.049	40.9559	33.4381
baxteri	hemiophrys	americanus	0.22888	1.49861	0.133976	0.0698503	210.297	16.5121	10.3613
americanus	baxteri	microscaphus	0.215338	2.26274	0.0236519	0.0288665	75.7646	35.6808	23.0367
baxteri	americanus	punctatus	0.00870132	0.0510325	0.9593	0.000526829	283.367	13.6612	13.4255
baxteri	americanus	quercicus	0.102549	0.675026	0.499659	0.00465202	192.075	14.2358	11.5876
americanus	baxteri	speciosus	0.0304831	0.221641	0.824593	0.00245471	212.779	23.8032	22.395
baxteri	americanus	terrestris	0.304649	4.42501	9.6438e-06	0.266966	110.418	60.3802	32.1814
americanus	baxteri	woodhousii	0.0715577	0.738803	0.460027	0.0292045	120.45	45.2307	39.1897
fowleri	americanus	cognatus	0.552777	5.25956	1.44401e-07	0.0828052	203.397	68.9947	19.8715
americanus	hemiophrys	cognatus	0.0913304	0.633029	0.526715	0.00731058	205.824	21.4828	17.8871
americanus	microscaphus	cognatus	0.165784	1.16631	0.24349	0.0221179	152.295	32.5853	23.3175
americanus	cognatus	punctatus	0.560233	3.83426	0.000125945	0.107284	112.432	63.4658	17.8885
cognatus	quercicus	americanus	0.0326924	0.218286	0.827206	0.0109855	74.9005	37.4268	35.0572
speciosus	cognatus	americanus	0.244129	1.43772	0.150513	0.0250737	329.209	16.1045	9.78431
terrestris	americanus	cognatus	0.512817	5.88485	3.98423e-09	0.0654754	224.585	56.2306	18.1083
woodhousii	americanus	cognatus	0.438138	3.8043	0.000142204	0.0612522	202.776	58.2671	22.7642
hemiophrys	americanus	fowleri	0.0528414	0.555389	0.578629	0.0208002	143.251	38.1235	34.2967
microscaphus	americanus	fowleri	0.0498469	0.514693	0.606768	0.0403331	66.9712	51.388	46.5082
fowleri	americanus	punctatus	0.399118	3.45264	0.000555136	0.0342863	287.827	28.9237	12.4219
fowleri	americanus	quercicus	0.405032	2.71837	0.00656053	0.0322379	195.801	34.3347	14.5392
fowleri	americanus	speciosus	0.477803	5.67522	1.38508e-08	0.0635714	212.18	63.0068	22.2641
americanus	terrestris	fowleri	0.0390176	0.66663	0.505009	0.0233881	107.279	59.3982	54.9371
fowleri	woodhousii	americanus	0.296486	4.10875	3.97808e-05	0.0975676	175.894	46.575	25.2731
americanus	hemiophrys	microscaphus	0.27381	3.00866	0.00262405	0.0357714	77.9766	35.9199	20.4777
hemiophrys	americanus	punctatus	0.00963252	0.0566326	0.954838	0.000533916	270.472	11.92	11.6925
americanus	hemiophrys	quercicus	0.225321	1.45996	0.144302	0.0107461	185.429	15.7651	9.96712
americanus	hemiophrys	speciosus	0.186536	1.33225	0.182778	0.0141913	201.263	24.8502	17.0368
hemiophrys	americanus	terrestris	0.294281	4.18022	2.9123e-05	0.254207	113.835	58.2905	31.7834
americanus	hemiophrys	woodhousii	0.11073	1.18086	0.237658	0.0441022	123.932	46.285	37.0566
microscaphus	americanus	punctatus	0.00343263	0.0221259	0.982348	0.00028638	227.806	15.9478	15.8386
americanus	microscaphus	quercicus	0.245295	1.72189	0.0850901	0.0194172	148.446	25.0942	15.2083
americanus	microscaphus	speciosus	0.306261	1.87612	0.0606387	0.0421442	150.97	39.7033	21.0859
terrestris	americanus	microscaphus	0.32761	3.55282	0.000381132	0.0581912	78.0831	56.9447	28.8406
woodhousii	microscaphus	americanus	0.0131985	0.153189	0.878249	0.0102441	57.1294	53.6243	52.2272
americanus	quercicus	punctatus	0.517721	3.6635	0.000248789	0.110697	105.046	58.5677	18.6108
