branch	branch_descendants	Outgroup	punctatus	cognatus	speciosus	quercicus	microscaphus	baxteri	hemiophrys	americanus	terrestris	fowleri	woodhousii
b2	punctatus	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	cognatus,speciosus,quercicus,microscaphus,baxteri,hemiophrys,americanus,terrestris,fowleri,woodhousii	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	cognatus,speciosus	nan	0.11469	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b5	quercicus,microscaphus,baxteri,hemiophrys,americanus,terrestris,fowleri,woodhousii	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b6	cognatus	nan	0	nan	nan	0	0	0	0	0	0	0	0
b7	speciosus	nan	0	nan	nan	0	0	0	0	0	0	0	0
b8	quercicus	nan	0.110697	0	0.102678	nan	nan	nan	nan	nan	nan	nan	nan
b9	microscaphus,baxteri,hemiophrys,americanus,terrestris,fowleri,woodhousii	nan	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan
b10	microscaphus	nan	0	0.0353883	0.0360893	0.0203471	nan	nan	nan	nan	nan	nan	nan
b11	baxteri,hemiophrys,americanus,terrestris,fowleri,woodhousii	nan	0	0	0	0	nan	nan	nan	nan	nan	nan	nan
b12	baxteri,hemiophrys	nan	0	0	0	0	0.0322486	nan	nan	nan	nan	nan	nan
b13	americanus,terrestris,fowleri,woodhousii	nan	0	0	0	0	0	nan	nan	nan	nan	nan	nan
b14	baxteri	nan	0	0	0	0	0	nan	nan	0	0	0	0
b15	hemiophrys	nan	0	0	0	0.0143121	0	nan	nan	0	0	0	0
b16	americanus,terrestris	nan	0	0	0.017178	0	0	0.0374368	0.0368166	nan	nan	nan	nan
b17	fowleri,woodhousii	nan	0	0	0	0	0	0	0	nan	nan	nan	nan
b18	americanus	nan	0.0269384	0.0654754	0.0302237	0.0219427	0.0581912	0.223058	0.242428	nan	nan	0	0
b19	terrestris	nan	0	0	0	0	0	0	0	nan	nan	0	0
b20	fowleri	nan	0	0	0	0	0	0	0	0	0	nan	nan
b21	woodhousii	nan	0	0.0229593	0.0286443	0	0.0504253	0.0828365	0.0856884	0.0975676	0	nan	nan
