branch	branch_descendants	Outgroup	debilis	punctatus	cognatus	speciosus	quercicus	microscaphus	baxteri	hemiophrys	americanus	terrestris	fowleri	woodhousii
b2	debilis,punctatus	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	cognatus,speciosus,quercicus,microscaphus,baxteri,hemiophrys,americanus,terrestris,fowleri,woodhousii	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	debilis	nan	nan	nan	0	0	0	0	0	0	0	0	0	0
b5	punctatus	nan	nan	nan	0	0	0	0	0	0	0	0	0	0
b6	cognatus,speciosus	nan	0	0.0581561	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b7	quercicus,microscaphus,baxteri,hemiophrys,americanus,terrestris,fowleri,woodhousii	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b8	cognatus	nan	0	0	nan	nan	0	0	0	0	0	0	0	0
b9	speciosus	nan	0	0	nan	nan	0	0	0	0	0	0	0	0
b10	quercicus	nan	0	0.0493179	0	0	nan	nan	nan	nan	nan	nan	nan	nan
b11	microscaphus,baxteri,hemiophrys,americanus,terrestris,fowleri,woodhousii	nan	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan
b12	microscaphus	nan	0	0	0.0355124	0.0608618	0.0216879	nan	nan	nan	nan	nan	nan	nan
b13	baxteri,hemiophrys,americanus,terrestris,fowleri,woodhousii	nan	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan
b14	baxteri,hemiophrys	nan	0	0	0.0553059	0	0.0128211	0.102885	nan	nan	nan	nan	nan	nan
b15	americanus,terrestris,fowleri,woodhousii	nan	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan
b16	baxteri	nan	0	0	0	0	0	0	nan	nan	0	0	0	0
b17	hemiophrys	nan	0	0	0	0	0	0	nan	nan	0	0	0	0
b18	americanus,terrestris	nan	0	0	0	0	0	0	0.0306725	0.0356324	nan	nan	nan	nan
b19	fowleri,woodhousii	nan	0	0	0	0	0	0	0	0	nan	nan	nan	nan
b20	americanus	nan	0	0	0.0602572	0.0345183	0.0252803	0.0687283	0.265091	0.276728	nan	nan	0	0.106488
b21	terrestris	nan	0	0	0	0	0	0	0	0	nan	nan	0	0
b22	fowleri	nan	0	0	0	0	0	0	0	0	0	0	nan	nan
b23	woodhousii	nan	0	0.0179159	0.0340194	0.0359535	0.0155333	0.0940087	0.0939911	0.111279	0.123909	0.0936775	nan	nan
