P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
americanus	baxteri	cognatus	0.193232	1.57812	0.114538	0.0214284	344.58	43.3471	29.3079
americanus	baxteri	debilis	0.108069	0.766368	0.443457	0.00462625	399.217	18.716	15.0653
fowleri	americanus	baxteri	0.662232	10.7431	2.3e-16	0.307936	71.8412	329.273	66.9088
baxteri	hemiophrys	americanus	0.182618	1.37898	0.167901	0.0398283	473.221	25.0643	17.3235
americanus	baxteri	microscaphus	0.415131	3.74822	0.000178094	0.0748109	128.594	90.3659	37.3479
americanus	baxteri	punctatus	0.207232	1.5989	0.109844	0.0105783	433.677	19.4322	12.7608
baxteri	americanus	quercicus	0.091609	0.592458	0.553544	0.00457781	321.036	19.2694	16.0352
baxteri	americanus	speciosus	0.015088	0.143518	0.885881	0.00133718	366.447	36.9758	35.8766
terrestris	americanus	baxteri	0.588968	9.455	2.3e-16	0.265091	98.5816	277.067	71.6714
woodhousii	americanus	baxteri	0.506866	7.04597	1.84177e-12	0.252038	68.1312	277.782	90.9063
americanus	cognatus	debilis	0.298076	2.53837	0.011137	0.0393831	159.416	63.1893	34.1691
fowleri	americanus	cognatus	0.447876	5.46576	4.60939e-08	0.0811993	373.371	116.324	44.3581
americanus	hemiophrys	cognatus	0.143009	1.21436	0.224609	0.0143269	353.899	39.3964	29.5381
americanus	microscaphus	cognatus	0.300861	1.9422	0.0521125	0.0563282	184.414	51.7517	27.8136
americanus	cognatus	punctatus	0.498358	6.52064	7.00091e-11	0.080596	193.074	78.0964	26.1462
americanus	quercicus	cognatus	0.12552	1.25906	0.208007	0.0395493	60.6576	89.042	69.1817
speciosus	cognatus	americanus	0.173948	1.2601	0.207632	0.0212826	561.465	34.1906	24.0583
terrestris	americanus	cognatus	0.405515	4.58507	4.53838e-06	0.0602572	412.498	88.036	37.2362
woodhousii	americanus	cognatus	0.279113	2.74339	0.0060808	0.0499688	365.132	92.1728	51.9471
fowleri	americanus	debilis	0.304455	2.47659	0.0132646	0.0215481	429.059	41.9812	22.3847
americanus	hemiophrys	debilis	0.189753	1.68008	0.0929411	0.00800206	395.294	19.7465	13.4478
americanus	microscaphus	debilis	0.135306	0.852891	0.39372	0.0122883	236.799	24.814	18.8993
punctatus	debilis	americanus	0.187359	1.48079	0.138663	0.0293816	150.397	39.125	26.7776
americanus	quercicus	debilis	0.188399	1.40292	0.160641	0.0222202	162.686	49.3681	33.7153
americanus	speciosus	debilis	0.250022	2.0044	0.0450269	0.0343007	162.601	65.1693	39.0997
terrestris	americanus	debilis	0.297393	2.42009	0.0155167	0.0198304	451.637	39.1217	21.1865
woodhousii	americanus	debilis	0.145591	1.02794	0.303976	0.0109201	410.369	37.4009	27.8945
fowleri	americanus	hemiophrys	0.663533	11.0882	2.3e-16	0.323648	72.7514	349.972	70.7854
fowleri	americanus	microscaphus	0.252938	3.22643	0.00125346	0.0682782	77.7395	153.482	91.5133
fowleri	americanus	punctatus	0.309471	2.4931	0.0126633	0.0172501	507.503	27.439	14.4695
fowleri	americanus	quercicus	0.418889	4.58954	4.44215e-06	0.0375316	373.553	57.8304	23.6846
fowleri	americanus	speciosus	0.386866	4.27098	1.94615e-05	0.0500837	416.262	92.8949	41.0689
terrestris	americanus	fowleri	0.0593384	1.02637	0.304715	0.0379065	299.947	152.813	135.693
fowleri	woodhousii	americanus	0.399665	9.96614	2.3e-16	0.123909	373.185	145.31	62.3256
americanus	hemiophrys	microscaphus	0.448317	4.24997	2.13803e-05	0.0809534	135.566	93.4375	35.5916
americanus	hemiophrys	punctatus	0.312663	2.60107	0.00929328	0.0147909	449.025	20.2482	10.6024
americanus	hemiophrys	quercicus	0.181441	1.21839	0.223076	0.00948386	339.64	22.8026	15.7987
americanus	hemiophrys	speciosus	0.191319	1.67129	0.0946641	0.0149995	377.079	38.5698	26.1816
terrestris	americanus	hemiophrys	0.601436	8.3934	2.3e-16	0.276728	97.9897	286.745	71.3649
woodhousii	americanus	hemiophrys	0.471636	6.77197	1.27039e-11	0.254035	66.7179	292.677	105.08
americanus	microscaphus	punctatus	0.423937	2.41905	0.015561	0.0326373	262.752	23.0327	9.31806
americanus	microscaphus	quercicus	0.296366	1.91251	0.0558106	0.0280203	186.318	33.5583	18.2146
americanus	microscaphus	speciosus	0.363186	2.86564	0.00416163	0.060182	190.544	56.3921	26.3437
terrestris	americanus	microscaphus	0.312468	3.84908	0.000118563	0.0687283	125.052	129.687	67.9363
americanus	woodhousii	microscaphus	0.0883669	1.05451	0.291648	0.0263088	75.7808	129.292	108.297
americanus	quercicus	punctatus	0.343855	2.44964	0.0143	0.0491951	177.809	51.6147	25.2012
americanus	speciosus	punctatus	0.409267	3.69671	0.000218415	0.0727031	191.937	77.2017	32.3612
terrestris	americanus	punctatus	0.12325	1.0701	0.284573	0.00592462	535.407	19.4161	15.1552
americanus	woodhousii	punctatus	0.0183996	0.127481	0.89856	0.00133204	492.703	26.2523	25.3037
americanus	quercicus	speciosus	0.0650186	0.579194	0.562458	0.0172814	64.2706	86.8514	76.247
terrestris	americanus	quercicus	0.382735	3.93195	8.42596e-05	0.0252803	398.703	41.024	18.3135
woodhousii	americanus	quercicus	0.253734	2.17457	0.0296627	0.0228274	350.866	49.4185	29.4156
terrestris	americanus	speciosus	0.300682	3.00948	0.00261697	0.0345183	445.671	74.3564	39.9781
woodhousii	americanus	speciosus	0.112298	1.27708	0.201576	0.0148065	390.45	68.7777	54.89
terrestris	americanus	woodhousii	0.224052	3.48138	0.000498834	0.106488	255.701	183.818	116.525
baxteri	cognatus	debilis	0.21865	1.72229	0.0850178	0.0261287	147.25	47.375	30.375
fowleri	baxteri	cognatus	0.560897	7.34364	2.07865e-13	0.0915569	305.545	90.1536	25.3616
hemiophrys	baxteri	cognatus	0.09375	0.380516	0.703562	0.0033	514.469	12.0312	9.96875
baxteri	microscaphus	cognatus	0.126949	0.755413	0.450001	0.0196857	171	31.625	24.5
baxteri	cognatus	punctatus	0.439935	3.66568	0.000246683	0.0620137	161.438	55.4375	21.5625
baxteri	quercicus	cognatus	0.0928495	0.86028	0.389635	0.0273714	50.25	64	53.125
speciosus	cognatus	baxteri	0.206098	1.43254	0.151988	0.0149336	463.177	22.9083	15.0792
terrestris	baxteri	cognatus	0.403234	3.35099	0.000805244	0.0598202	319.459	69.7018	29.6427
woodhousii	baxteri	cognatus	0.408802	5.60554	2.07603e-08	0.0611853	305.533	67.8524	28.474
fowleri	baxteri	debilis	0.373224	2.6281	0.00858625	0.0265356	376.853	39.2556	17.9173
baxteri	hemiophrys	debilis	0.243243	0.99989	0.317364	0.00309677	511.75	5.75	3.5
baxteri	microscaphus	debilis	0.106181	0.607433	0.543564	0.0092991	224.25	21.8125	17.625
punctatus	debilis	baxteri	0.207627	1.58112	0.113851	0.0271619	129.125	35.625	23.375
baxteri	quercicus	debilis	0.134106	0.849772	0.395452	0.0161451	137.688	42.8125	32.6875
baxteri	speciosus	debilis	0.262335	2.25373	0.024213	0.0332961	134.944	53.8083	31.4437
terrestris	baxteri	debilis	0.279439	1.75552	0.0791697	0.0212212	384.72	38.7382	21.8168
woodhousii	baxteri	debilis	0.266894	1.8422	0.0654453	0.0183273	365.05	33.4887	19.3787
baxteri	hemiophrys	fowleri	0.162546	1.10893	0.267461	0.0129456	730.817	14.5465	10.4788
fowleri	baxteri	microscaphus	0.433638	3.67242	0.000240263	0.133155	60.6609	166.589	65.8115
fowleri	baxteri	punctatus	0.491597	3.49334	0.000477017	0.0313828	410.465	30.6224	10.4375
fowleri	baxteri	quercicus	0.458255	3.19602	0.00139337	0.0327631	291.017	38.0229	14.1256
fowleri	baxteri	speciosus	0.45081	6.24182	4.32501e-10	0.0529119	327.628	74.1148	28.0555
fowleri	terrestris	baxteri	0.174055	3.52217	0.000428023	0.0613449	113.122	173.979	122.394
fowleri	woodhousii	baxteri	0.480043	6.97147	3.13638e-12	0.0939911	268.85	120.566	42.3563
baxteri	hemiophrys	microscaphus	0.140078	0.768213	0.442361	0.00723109	332.312	18.3125	13.8125
baxteri	hemiophrys	punctatus	0.245614	0.810176	0.417839	0.00295983	526.438	4.4375	2.6875
baxteri	hemiophrys	quercicus	0.582524	2.55551	0.0106033	0.0112655	441.562	10.1875	2.6875
baxteri	hemiophrys	speciosus	0.370474	1.50173	0.133168	0.00732709	510.85	10.25	4.70833
baxteri	hemiophrys	terrestris	0.136432	0.966335	0.333877	0.0238344	655.819	17.2074	13.0758
baxteri	hemiophrys	woodhousii	0.0640055	0.488161	0.625436	0.00618732	630.474	18.8451	16.5778
baxteri	microscaphus	punctatus	0.304147	1.40717	0.159378	0.0215827	237.312	17.6875	9.4375
baxteri	microscaphus	quercicus	0.258503	1.46932	0.141747	0.0195876	169.625	23.125	13.625
baxteri	microscaphus	speciosus	0.399675	2.98484	0.00283726	0.0494254	183.683	38.6063	16.5583
terrestris	baxteri	microscaphus	0.571938	4.08153	4.47396e-05	0.147605	73.8153	155.419	42.3229
woodhousii	baxteri	microscaphus	0.159187	1.37259	0.169879	0.0488264	62.8962	115.663	83.8959
baxteri	quercicus	punctatus	0.43513	2.92802	0.00341125	0.059628	140.688	44.9375	17.6875
baxteri	speciosus	punctatus	0.382817	2.74601	0.00603254	0.0598579	153.854	56.4333	25.1875
terrestris	baxteri	punctatus	0.135699	0.985334	0.32446	0.00765325	417.45	19.5897	14.9083
woodhousii	baxteri	punctatus	0.0768229	0.451731	0.651463	0.00497726	404.764	21.2799	18.2436
baxteri	quercicus	speciosus	0.0649627	0.536384	0.591693	0.0149933	53.9833	62.5	54.875
terrestris	baxteri	quercicus	0.319992	2.31819	0.0204392	0.02305	303.178	34.3318	17.6864
