P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
americanus	baxteri	cognatus	0.0925418	0.574538	0.565604	0.00777425	271.327	23.7803	19.7518
americanus	baxteri	debilis	0.0254701	0.15309	0.878327	0.000961113	306.436	10.9388	10.3955
baxteri	americanus	fowleri	0.0019017	0.0193776	0.98454	0.000807939	226.408	55.1449	54.9356
baxteri	hemiophrys	americanus	0.23442	1.75976	0.0784493	0.0534175	325.581	18.4575	11.4472
americanus	baxteri	microscaphus	0.404087	2.69116	0.00712043	0.0747999	76.6172	60.3334	25.6063
americanus	baxteri	punctatus	0.20703	1.14269	0.253166	0.0109905	373.359	15.1202	9.93335
baxteri	americanus	quercicus	0.120378	0.747418	0.454812	0.00568161	270.639	16.5778	13.0154
americanus	baxteri	speciosus	0.0171234	0.101241	0.919359	0.00113743	288.343	21.7304	20.9987
baxteri	americanus	terrestris	0.245461	3.41403	0.000640098	0.234713	183.921	89.5837	54.2726
americanus	baxteri	woodhousii	0.165978	1.47726	0.139607	0.0588487	166.077	72.2908	51.7094
americanus	cognatus	debilis	0.24394	1.50485	0.132363	0.0320948	139.498	48.4563	29.4515
fowleri	americanus	cognatus	0.495933	3.66948	0.00024304	0.0682465	362.773	85.7374	28.8899
americanus	hemiophrys	cognatus	0.12053	0.834745	0.403861	0.00970623	294.632	25.0578	19.6671
americanus	microscaphus	cognatus	0.322972	2.28527	0.0222967	0.0499652	131.772	36.7219	18.7924
americanus	cognatus	punctatus	0.477024	3.33928	0.000839974	0.0772217	174.545	63.4341	22.4604
quercicus	cognatus	americanus	0.0160561	0.164589	0.869267	0.00513213	63.7703	60.9856	59.0581
cognatus	speciosus	americanus	0.0861002	0.538387	0.59031	0.00684608	473.922	20.4132	17.1767
terrestris	americanus	cognatus	0.273421	2.49554	0.0125766	0.0305645	411.835	57.0901	32.5741
woodhousii	americanus	cognatus	0.328209	2.66532	0.0076914	0.0443136	311.309	58.5708	29.6243
fowleri	americanus	debilis	0.393544	2.78706	0.00531892	0.0254908	361.926	34.3606	14.9534
americanus	hemiophrys	debilis	0.0237544	0.150583	0.880305	0.000906442	330.607	11.9529	11.3982
americanus	microscaphus	debilis	0.288454	1.55423	0.120129	0.0147675	179.98	11.6691	6.44425
punctatus	debilis	americanus	0.176646	1.20292	0.229006	0.0328349	114.393	38.6652	27.0558
americanus	quercicus	debilis	0.120518	0.791616	0.428585	0.016156	130.279	43.8487	34.4163
americanus	speciosus	debilis	0.263515	1.77242	0.0763257	0.0337196	141.824	50.5903	29.4884
terrestris	americanus	debilis	0.176783	1.68031	0.0928965	0.00759512	422.27	19.9068	13.9258
woodhousii	americanus	debilis	0.222905	1.6511	0.0987179	0.0126748	332.949	23.9863	15.2421
hemiophrys	americanus	fowleri	0.0200318	0.227432	0.820088	0.00725408	234.057	57.9935	55.7157
americanus	microscaphus	fowleri	0.0135561	0.0994324	0.920795	0.0102865	112.399	58.498	56.9333
fowleri	americanus	punctatus	0.156373	1.13294	0.257237	0.00814972	547.285	20.7525	15.1399
fowleri	americanus	quercicus	0.331991	2.54718	0.0108597	0.0213322	423.748	40.375	20.2485
fowleri	americanus	speciosus	0.427287	4.45526	8.37932e-06	0.0354439	562.645	67.9848	27.2796
americanus	terrestris	fowleri	0.0297358	0.711851	0.476557	0.0193963	313.885	194.467	183.235
fowleri	woodhousii	americanus	0.358709	3.50912	0.000449597	0.123609	375.512	122.283	57.7158
americanus	hemiophrys	microscaphus	0.386697	2.87972	0.00398032	0.0674267	81.3165	56.4945	24.9862
americanus	hemiophrys	punctatus	0.23087	1.31826	0.187417	0.0122309	414.13	17.6427	11.0244
americanus	hemiophrys	quercicus	0.0277441	0.186864	0.851767	0.00126099	315.68	15.6331	14.7891
americanus	hemiophrys	speciosus	0.274805	1.66266	0.0963805	0.0152149	352.461	25.9588	14.7671
hemiophrys	americanus	terrestris	0.276791	4.2182	2.46264e-05	0.226966	193.724	90.3291	51.1648
americanus	hemiophrys	woodhousii	0.133829	1.31737	0.187714	0.0429589	175.857	65.0605	49.702
americanus	microscaphus	punctatus	0.331652	1.70197	0.0887606	0.0260085	192.226	15.7477	7.90368
americanus	microscaphus	quercicus	0.0813085	0.455857	0.648493	0.00671354	135.988	19.2468	16.3523
americanus	microscaphus	speciosus	0.508261	2.98885	0.00280025	0.0601817	131.536	37.3069	12.1632
microscaphus	americanus	terrestris	0.281872	2.86347	0.00419022	0.343796	96.3499	87.6038	49.0773
woodhousii	microscaphus	americanus	0.183799	1.25705	0.208736	0.134339	79.7488	75.0076	51.7159
americanus	quercicus	punctatus	0.216788	1.70053	0.0890307	0.0361369	171.591	51.9507	33.4392
americanus	speciosus	punctatus	0.492989	3.34029	0.000836919	0.0823946	203.576	72.2351	24.5307
terrestris	americanus	punctatus	0.238471	1.76979	0.0767622	0.0128734	615.516	24.0483	14.7872
woodhousii	americanus	punctatus	0.192219	1.20721	0.227352	0.0105146	451.223	19.0406	12.9008
americanus	speciosus	quercicus	0.0176073	0.147261	0.882926	0.00339957	79.6653	74.4022	71.8275
terrestris	americanus	quercicus	0.463821	4.67606	2.92445e-06	0.0307495	462.62	47.9613	17.5676
woodhousii	americanus	quercicus	0.259196	1.69666	0.0897617	0.0187699	339.121	35.2275	20.7249
terrestris	americanus	speciosus	0.301907	3.0255	0.00248219	0.0235761	612.823	58.2031	31.209
woodhousii	americanus	speciosus	0.133716	1.25248	0.210394	0.0129661	413.594	47.4956	36.2919
terrestris	americanus	woodhousii	0.15174	2.67879	0.00738892	0.0659668	212.009	156.447	115.223
baxteri	cognatus	debilis	0.211991	1.15157	0.249497	0.0267712	106.375	35.375	23
fowleri	baxteri	cognatus	0.486841	2.8823	0.00394781	0.0692461	260.045	58.3421	20.1358
baxteri	hemiophrys	cognatus	0.309091	0.896131	0.370183	0.00432295	382	4.5	2.375
baxteri	microscaphus	cognatus	0.220077	1.51721	0.129214	0.0247826	123.375	19.75	12.625
baxteri	cognatus	punctatus	0.524625	3.03095	0.00243788	0.0769472	138.375	44.5	13.875
cognatus	quercicus	baxteri	0.0505618	0.386786	0.698915	0.0128274	55.625	46.75	42.25
speciosus	cognatus	baxteri	0.270924	1.21573	0.224086	0.0134395	348.552	13.35	7.65833
terrestris	baxteri	cognatus	0.226041	1.45906	0.144548	0.0308513	262.42	44.7115	28.2249
woodhousii	baxteri	cognatus	0.258961	1.53907	0.123787	0.0332073	252.42	39.6577	23.343
fowleri	baxteri	debilis	0.282599	1.58749	0.112401	0.0128218	274.174	16.2884	9.11068
baxteri	hemiophrys	debilis	0.222222	0	nan	0.000923041	380.625	1.375	0.875
baxteri	microscaphus	debilis	0.2	0.754365	0.45063	0.00734016	169.5	7.125	4.75
punctatus	debilis	baxteri	0.267016	1.50995	0.131055	0.0382381	89	30.25	17.5
baxteri	quercicus	debilis	0.115299	0.591072	0.554472	0.0146561	98.0625	31.4375	24.9375
baxteri	speciosus	debilis	0.248655	1.38361	0.166477	0.0309488	99.2458	35.7792	21.5292
terrestris	baxteri	debilis	0.251075	1.76865	0.0769523	0.0108514	300.547	15.4055	9.22209
