latitude,longitude,scientific_name
50.432579,-96.593513,Anaxyrus hemiophrys
51.2885,-99.9931666667,Anaxyrus hemiophrys
46.121577,-96.952865,Anaxyrus hemiophrys
46.109142,-96.953273,Anaxyrus hemiophrys
46.107163,-96.963573,Anaxyrus hemiophrys
46.106551,-96.96179,Anaxyrus hemiophrys
50.23963,-97.303848,Anaxyrus hemiophrys
50.18639,-98.40331,Anaxyrus hemiophrys
49.6644466667,-99.177895,Anaxyrus hemiophrys
50.568993,-96.598834,Anaxyrus hemiophrys
49.5992227334,-98.0041512672,Anaxyrus hemiophrys
50.2039666667,-97.1495055,Anaxyrus hemiophrys
49.0161111111,-96.775,Anaxyrus hemiophrys
49.0238888889,-96.7619444444,Anaxyrus hemiophrys
52.583685,-110.008894,Anaxyrus hemiophrys
50.172995,-97.131006,Anaxyrus hemiophrys
46.8766216667,-97.21187,Anaxyrus hemiophrys
46.2859273481,-96.1541032791,Anaxyrus hemiophrys
47.6540716264,-96.2826995746,Anaxyrus hemiophrys
49.6644366667,-99.1779866667,Anaxyrus hemiophrys
50.17295,-97.1324305,Anaxyrus hemiophrys
48.034923,-97.346591,Anaxyrus hemiophrys
49.88874661,-97.23513779,Anaxyrus hemiophrys
50.5604536,-96.6234797,Anaxyrus hemiophrys
50.5604536,-96.6234797,Anaxyrus hemiophrys
47.0724833333,-96.428245,Anaxyrus hemiophrys
50.109586,-96.698453,Anaxyrus hemiophrys
50.0154222167,-96.9180533333,Anaxyrus hemiophrys
50.1727985626,-97.1305665001,Anaxyrus hemiophrys
51.3861914089,-105.1828479767,Anaxyrus hemiophrys
49.5902777778,-100.7127777778,Anaxyrus hemiophrys
49.974189,-97.393112,Anaxyrus hemiophrys
49.665628,-99.28658,Anaxyrus hemiophrys
50.174837,-97.128636,Anaxyrus hemiophrys
49.743896,-99.303789,Anaxyrus hemiophrys
46.8525645218,-96.7875233665,Anaxyrus hemiophrys
50.392126,-97.243867,Anaxyrus hemiophrys
47.9857296933,-96.5524546888,Anaxyrus hemiophrys
49.9349160679,-97.5087896548,Anaxyrus hemiophrys
49.9348827498,-97.5090404414,Anaxyrus hemiophrys
50.0537772346,-96.5303850174,Anaxyrus hemiophrys
48.0347061658,-97.3419167896,Anaxyrus hemiophrys
57.4788609647,-111.4065049856,Anaxyrus hemiophrys
48.77768,-97.7430283333,Anaxyrus hemiophrys
46.8867449228,-96.6909232333,Anaxyrus hemiophrys
46.886689039,-96.6909205914,Anaxyrus hemiophrys
46.7579633333,-96.7901166667,Anaxyrus hemiophrys
52.581696,-110.008955,Anaxyrus hemiophrys
52.0312798002,-106.7074125208,Anaxyrus hemiophrys
46.765205,-96.9083716667,Anaxyrus hemiophrys
44.81012855,-97.41151086,Anaxyrus hemiophrys
46.3762133333,-97.3153916667,Anaxyrus hemiophrys
50.1706986839,-97.0616724114,Anaxyrus hemiophrys
51.0366831488,-106.4947119373,Anaxyrus hemiophrys
51.0540358,-106.507958,Anaxyrus hemiophrys
54.3757990795,-108.5246189222,Anaxyrus hemiophrys
54.3757990795,-108.5246189222,Anaxyrus hemiophrys
52.1432406534,-106.8952593654,Anaxyrus hemiophrys
52.3520835208,-110.65454404,Anaxyrus hemiophrys
52.1432458221,-106.8953713946,Anaxyrus hemiophrys
49.0151138833,-96.768395,Anaxyrus hemiophrys
49.7631,-99.74592,Anaxyrus hemiophrys
51.8894166667,-106.812425,Anaxyrus hemiophrys
49.6801213743,-99.5945131034,Anaxyrus hemiophrys
49.35508,-97.351089,Anaxyrus hemiophrys
49.65338843,-99.24783498,Anaxyrus hemiophrys
44.6246267245,-95.7044326141,Anaxyrus hemiophrys
45.9925409449,-96.2563034892,Anaxyrus hemiophrys
45.9926038369,-96.2461680919,Anaxyrus hemiophrys
46.8668583333,-96.4536283333,Anaxyrus hemiophrys
44.5721046284,-97.1062722481,Anaxyrus hemiophrys
45.4254708824,-97.3290749425,Anaxyrus hemiophrys
49.8191666667,-98.1891666667,Anaxyrus hemiophrys
52.5822572285,-110.0080836564,Anaxyrus hemiophrys
45.2218000779,-95.0832727491,Anaxyrus hemiophrys
50.2400083333,-97.304025,Anaxyrus hemiophrys
46.8313533333,-96.7638166667,Anaxyrus hemiophrys
44.5213489875,-94.7171298266,Anaxyrus hemiophrys
47.1697783333,-98.6028833333,Anaxyrus hemiophrys
49.8897651024,-97.2334617376,Anaxyrus hemiophrys
47.0641884686,-96.4658034627,Anaxyrus hemiophrys
45.5375128978,-95.5199884996,Anaxyrus hemiophrys
45.38724,-96.53943,Anaxyrus hemiophrys
45.42673,-97.3296133333,Anaxyrus hemiophrys
44.7894287109,-97.5949707031,Anaxyrus hemiophrys
46.82926163,-96.90912291,Anaxyrus hemiophrys
45.5837466667,-95.91658,Anaxyrus hemiophrys
49.620747,-99.24607,Anaxyrus hemiophrys
45.3342883333,-96.3842166667,Anaxyrus hemiophrys
50.1738078796,-97.1337828897,Anaxyrus hemiophrys
57.4919966667,-111.4957583333,Anaxyrus hemiophrys
46.8831815025,-96.6899410208,Anaxyrus hemiophrys
47.370008,-98.584743,Anaxyrus hemiophrys
47.370015,-98.584789,Anaxyrus hemiophrys
50.1733868521,-97.1329568793,Anaxyrus hemiophrys
49.6046633333,-96.8785633333,Anaxyrus hemiophrys
49.6045283333,-96.8787,Anaxyrus hemiophrys
50.6310958198,-96.9875708967,Anaxyrus hemiophrys
51.4931801381,-102.6611946523,Anaxyrus hemiophrys
50.1701866667,-97.1257083333,Anaxyrus hemiophrys
47.0728603285,-96.4261594043,Anaxyrus hemiophrys
47.0730232308,-96.4250876942,Anaxyrus hemiophrys
50.7130705426,-97.0085143392,Anaxyrus hemiophrys
50.5622227487,-96.6130983813,Anaxyrus hemiophrys
46.5034459875,-97.8948381543,Anaxyrus hemiophrys
48.44187429,-97.44577343,Anaxyrus hemiophrys
46.7686360097,-96.7845849228,Anaxyrus hemiophrys
