au-id,pop-num,lon,lat,evidence,institutioncode,catalognumber,preparations,disposition,family,genus,specificepithet,infraspecificepithet,locationremarks,county,stateprovince,country,decimallatitude,decimallongitude,geodeticdatum,verbatimelevation,georeferenceremarks,month,day,year,recordedby,lifestage,sex,recordnumber,eventremarks
28977,7,-86.78922506,33.26796486,morphology,AUM,28977,70% EtOH,,Bufonidae,Anaxyrus,terrestris,,1.75 miles north of Alabama 119- U.S. 31 on Shelby County 11,Shelby County,Alabama,United States,,,,,,5,14,1976,Craig A. Weatherby,,,,"FHR = 7, HFR = RV"
28978,7,-86.78922506,33.26796486,morphology,AUM,28978,70% EtOH,,Bufonidae,Anaxyrus,terrestris,,1.75 miles north of Alabama 119- U.S. 31 on Shelby County 11,Shelby County,Alabama,United States,,,,,,5,14,1976,Craig A. Weatherby,,,,"FHR = 7, HFR = RV"
28979,7,-86.78922506,33.26796486,morphology,AUM,28979,70% EtOH,,Bufonidae,Anaxyrus,terrestris,,1.75 miles north of Alabama 119- U.S. 31 on Shelby County 11,Shelby County,Alabama,United States,,,,,,5,14,1976,Craig A. Weatherby,,,,"FHR = 7, HFR = RV"
28980,7,-86.78922506,33.26796486,morphology,AUM,28980,70% EtOH,,Bufonidae,Anaxyrus,terrestris,,1.75 miles north of Alabama 119- U.S. 31 on Shelby County 11,Shelby County,Alabama,United States,,,,,,5,14,1976,Craig A. Weatherby,,,,"FHR = 7, HFR = RV"
28981,7,-86.78922506,33.26796486,morphology,AUM,28981,70% EtOH,,Bufonidae,Anaxyrus,terrestris,,1.75 miles north of Alabama 119- U.S. 31 on Shelby County 11,Shelby County,Alabama,United States,,,,,,5,14,1976,Craig A. Weatherby,,,,"FHR = 7, HFR = RV"
29037,14,-86.45281052,33.28241744,acoustics,AUM,29037,70% EtOH,,Bufonidae,Anaxyrus,AxT (terrestris),,Just west of the junction between Alabama 25 and Alabama 76,Shelby County,Alabama,United States,,,,,,3,21,1978,Craig A. Weatherby,,,,"In a flooded cultivated field. FHR = 8-9, HFR = RV"
29038,14,-86.45281052,33.28241744,acoustics,AUM,29038,70% EtOH,,Bufonidae,Anaxyrus,AxFxT (americanus),,Just west of the junction between Alabama 25 and Alabama 76,Shelby County,Alabama,United States,,,,,,4,21,1978,Craig A. Weatherby,,,,"In a flooded cultivated field. FHR = 8-9, HFR = RV"
29133,15,-86.63188085,33.16269607,acoustics,AUM,29133,70% EtOH,,Bufonidae,Anaxyrus,terrestris,,2.1 miles south of Alabama 70 on Alabama 25,Shelby County,Alabama,United States,,,,,,5,7,1978,Craig A. Weatherby,,,,"In a flooded pasture with cows, FHR = 9, HFR = RV"
29134,15,-86.63188085,33.16269607,acoustics,AUM,29134,70% EtOH,,Bufonidae,Anaxyrus,terrestris,,2.1 miles south of Alabama 70 on Alabama 25,Shelby County,Alabama,United States,,,,,,5,7,1978,Craig A. Weatherby,,,,"In a flooded pasture with cows, FHR = 9, HFR = RV"
29135,15,-86.63188085,33.16269607,acoustics,AUM,29135,70% EtOH,,Bufonidae,Anaxyrus,terrestris,,2.1 miles south of Alabama 70 on Alabama 25,Shelby County,Alabama,United States,,,,,,5,7,1978,Craig A. Weatherby,,,,"In a flooded pasture with cows, FHR = 9, HFR = RV"
