burnin	sample_size	asdsf	psrf_tree_length	psrf_root_height	psrf_root_pop_size	ess_tree_length	ess_root_height	ess_root_pop_size
1	5000	0.00742029	1.00362	1.00085	1.00039	589.287	405.407	289.688
101	4500	0.0025932	0.99992	0.999898	0.999606	2680.57	3859.74	2471.12
201	4000	0.00301766	0.999842	0.999884	0.9997	2346.97	3726.36	1801.01
301	3500	0.0032347	0.999477	0.999797	1.00043	1671.43	2162.97	1909.7
401	3000	0.00366856	0.999337	0.999508	1.00144	2033.59	3000	1387.53
501	2500	0.00373631	0.999269	0.999276	1.00152	1253.56	1959.92	1517.48
601	2000	0.00365889	1.00002	0.998954	1.00119	1512.06	2000	1417.88
701	1500	0.00396232	0.999305	0.998754	1.00478	940.857	1500	773.54
801	1000	0.00508675	0.997967	0.998879	1.00416	738.777	946.628	498.146
901	500	0.00482701	0.996268	0.997629	1.00184	299.555	455.011	191.763
