generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.012	15	1235	6	none	
NeighborHeightNodeSwap	0.00751252	9	1189	6	none	
GlobalHeightSizeMixer	0.464789	99	114	1	0.0268206	
GlobalHeightSizeRateScaler	0.446701	88	109	1	0.0285003	
GlobalNodeHeightDirichletOperator	0.300716	756	1758	1	0.000263306	
GlobalPopSizeScaler	0.480952	101	109	1	0.0436048	
NodeHeightDirichletOperator	0.687444	772	351	6	0.00474748	
NodeHeightMover	0.297821	369	870	6	0.000294877	
NodeHeightScaler	0.614332	763	479	6	0.0783792	
NodeHeightSlideBumpScaler	0.529459	665	591	6	0.0972232	
NodeHeightSlideBumpSwapScaler	0.547619	644	532	6	0.0954065	
RootHeightScaler	0.658343	1661	862	1	0.0452425	
SplitLumpNodesRevJumpSampler	0.0391134	30	737	4	1	
SplitLumpNodesRevJumpSampler	0.0704574	57	752	4	10	
SplitLumpNodesRevJumpSampler	0.0146862	11	738	4	100	
TreeScaler	0.569832	102	77	1	0.0348428	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00733496	18	2436	6	none	
NeighborHeightNodeSwap	0.00379107	9	2365	6	none	
GlobalHeightSizeMixer	0.463054	188	218	1	0.026563	
GlobalHeightSizeRateScaler	0.43342	166	217	1	0.0280601	
GlobalNodeHeightDirichletOperator	0.306585	1555	3517	1	0.000241934	
GlobalPopSizeScaler	0.485981	208	220	1	0.0454771	
NodeHeightDirichletOperator	0.672027	1588	775	6	0.00561717	
NodeHeightMover	0.3304	826	1674	6	0.000279375	
NodeHeightScaler	0.583024	1415	1012	6	0.0846645	
NodeHeightSlideBumpScaler	0.52269	1290	1178	6	0.10154	
NodeHeightSlideBumpSwapScaler	0.520191	1198	1105	6	0.100672	
RootHeightScaler	0.637664	3254	1849	1	0.0511254	
SplitLumpNodesRevJumpSampler	0.0324718	49	1460	4	1	
SplitLumpNodesRevJumpSampler	0.0597484	95	1495	4	10	
SplitLumpNodesRevJumpSampler	0.0170994	27	1552	4	100	
TreeScaler	0.556122	218	174	1	0.0382831	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00525442	19	3597	6	none	
NeighborHeightNodeSwap	0.00280426	10	3556	6	none	
GlobalHeightSizeMixer	0.471061	293	329	1	0.026993	
GlobalHeightSizeRateScaler	0.423469	249	339	1	0.0277861	
GlobalNodeHeightDirichletOperator	0.319745	2455	5223	1	0.000231292	
GlobalPopSizeScaler	0.476994	311	341	1	0.0457647	
NodeHeightDirichletOperator	0.65883	2354	1219	6	0.00611131	
NodeHeightMover	0.347685	1284	2409	6	0.00027106	
NodeHeightScaler	0.564258	2046	1580	6	0.0874943	
NodeHeightSlideBumpScaler	0.517563	1886	1758	6	0.103822	
NodeHeightSlideBumpSwapScaler	0.510042	1803	1732	6	0.102566	
RootHeightScaler	0.615645	4730	2953	1	0.0540061	
SplitLumpNodesRevJumpSampler	0.0302245	70	2246	4	1	
SplitLumpNodesRevJumpSampler	0.0557418	133	2253	4	10	
SplitLumpNodesRevJumpSampler	0.0152542	36	2324	4	100	
TreeScaler	0.547332	318	263	1	0.0400173	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00459674	22	4764	6	none	
NeighborHeightNodeSwap	0.00254022	12	4712	6	none	
GlobalHeightSizeMixer	0.461538	372	434	1	0.0267235	
GlobalHeightSizeRateScaler	0.428021	333	445	1	0.0279084	
GlobalNodeHeightDirichletOperator	0.322743	3342	7013	1	0.000224087	
GlobalPopSizeScaler	0.461358	394	460	1	0.0456267	
NodeHeightDirichletOperator	0.647687	3094	1683	6	0.00641823	
NodeHeightMover	0.350284	1729	3207	6	0.000265289	
NodeHeightScaler	0.555394	2682	2147	6	0.0896656	
NodeHeightSlideBumpScaler	0.514409	2499	2359	6	0.10573	
NodeHeightSlideBumpSwapScaler	0.502434	2374	2351	6	0.104167	
RootHeightScaler	0.599981	6217	4145	1	0.0558829	
SplitLumpNodesRevJumpSampler	0.033281	106	3079	4	1	
SplitLumpNodesRevJumpSampler	0.0538004	172	3025	4	10	
SplitLumpNodesRevJumpSampler	0.0157878	50	3117	4	100	
TreeScaler	0.53183	401	353	1	0.0406008	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00467758	28	5958	6	none	
NeighborHeightNodeSwap	0.0027137	16	5880	6	none	
GlobalHeightSizeMixer	0.459653	450	529	1	0.0269088	
GlobalHeightSizeRateScaler	0.421325	407	559	1	0.0276772	
GlobalNodeHeightDirichletOperator	0.328578	4261	8707	1	0.000219582	
GlobalPopSizeScaler	0.458175	482	570	1	0.0457653	
NodeHeightDirichletOperator	0.648823	3915	2119	6	0.00674389	
NodeHeightMover	0.358192	2195	3933	6	0.000262873	
NodeHeightScaler	0.542791	3279	2762	6	0.0907477	
NodeHeightSlideBumpScaler	0.509546	3096	2980	6	0.106603	
NodeHeightSlideBumpSwapScaler	0.50051	2945	2939	6	0.105315	
RootHeightScaler	0.594306	7723	5272	1	0.0574619	
SplitLumpNodesRevJumpSampler	0.0338393	136	3883	4	1	
SplitLumpNodesRevJumpSampler	0.0507373	203	3798	4	10	
SplitLumpNodesRevJumpSampler	0.015121	60	3908	4	100	
TreeScaler	0.519427	508	470	1	0.0414801	
generation 6000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00388889	28	7172	6	none	
NeighborHeightNodeSwap	0.0022494	16	7097	6	none	
GlobalHeightSizeMixer	0.459044	538	634	1	0.02685	
GlobalHeightSizeRateScaler	0.419764	497	687	1	0.0276749	
GlobalNodeHeightDirichletOperator	0.333248	5183	10370	1	0.000215949	
GlobalPopSizeScaler	0.453461	570	687	1	0.0458743	
NodeHeightDirichletOperator	0.638425	4589	2599	6	0.00692756	
NodeHeightMover	0.365701	2689	4664	6	0.000260514	
NodeHeightScaler	0.540975	3908	3316	6	0.0924231	
NodeHeightSlideBumpScaler	0.508282	3713	3592	6	0.107509	
NodeHeightSlideBumpSwapScaler	0.494774	3503	3577	6	0.105843	
RootHeightScaler	0.585364	9103	6448	1	0.0585382	
SplitLumpNodesRevJumpSampler	0.0348934	167	4619	4	1	
SplitLumpNodesRevJumpSampler	0.0489028	234	4551	4	10	
SplitLumpNodesRevJumpSampler	0.0145985	70	4725	4	100	
TreeScaler	0.515665	609	572	1	0.0419507	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00346227	29	8347	6	none	
NeighborHeightNodeSwap	0.00277142	23	8276	6	none	
GlobalHeightSizeMixer	0.455539	625	747	1	0.0269092	
GlobalHeightSizeRateScaler	0.431095	610	805	1	0.0277875	
GlobalNodeHeightDirichletOperator	0.335883	6104	12069	1	0.000212906	
GlobalPopSizeScaler	0.447495	652	805	1	0.0458618	
NodeHeightDirichletOperator	0.633772	5292	3058	6	0.00710225	
NodeHeightMover	0.36512	3132	5446	6	0.000257572	
NodeHeightScaler	0.536753	4542	3920	6	0.0934519	
NodeHeightSlideBumpScaler	0.501815	4285	4254	6	0.107998	
NodeHeightSlideBumpSwapScaler	0.495878	4090	4158	6	0.106744	
RootHeightScaler	0.57875	10513	7652	1	0.05943	
SplitLumpNodesRevJumpSampler	0.03734	210	5414	4	1	
SplitLumpNodesRevJumpSampler	0.0483726	269	5292	4	10	
SplitLumpNodesRevJumpSampler	0.0145907	82	5538	4	100	
TreeScaler	0.504392	689	677	1	0.0419992	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00332848	32	9582	6	none	
NeighborHeightNodeSwap	0.00295327	28	9453	6	none	
GlobalHeightSizeMixer	0.455534	712	851	1	0.0269162	
GlobalHeightSizeRateScaler	0.433639	709	926	1	0.0278718	
GlobalNodeHeightDirichletOperator	0.338554	7025	13725	1	0.000210445	
GlobalPopSizeScaler	0.447288	734	907	1	0.0459657	
NodeHeightDirichletOperator	0.630596	6043	3540	6	0.00727792	
NodeHeightMover	0.366248	3557	6155	6	0.000255302	
NodeHeightScaler	0.532927	5163	4525	6	0.0943049	
NodeHeightSlideBumpScaler	0.49882	4860	4883	6	0.108418	
NodeHeightSlideBumpSwapScaler	0.491588	4646	4805	6	0.1072	
RootHeightScaler	0.572654	11882	8867	1	0.0601498	
SplitLumpNodesRevJumpSampler	0.0369967	238	6195	4	1	
SplitLumpNodesRevJumpSampler	0.0489412	312	6063	4	10	
SplitLumpNodesRevJumpSampler	0.0150754	96	6272	4	100	
TreeScaler	0.500961	782	779	1	0.0424073	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00331553	36	10822	6	none	
NeighborHeightNodeSwap	0.0032003	34	10590	6	none	
GlobalHeightSizeMixer	0.454026	795	956	1	0.0268524	
GlobalHeightSizeRateScaler	0.430125	791	1048	1	0.0277538	
GlobalNodeHeightDirichletOperator	0.341422	7992	15416	1	0.000208337	
GlobalPopSizeScaler	0.444992	813	1014	1	0.0459967	
NodeHeightDirichletOperator	0.627875	6771	4013	6	0.00742641	
NodeHeightMover	0.369884	4031	6867	6	0.000253814	
NodeHeightScaler	0.532314	5782	5080	6	0.0952595	
NodeHeightSlideBumpScaler	0.496521	5424	5500	6	0.108857	
NodeHeightSlideBumpSwapScaler	0.488049	5207	5462	6	0.107523	
RootHeightScaler	0.566061	13243	10152	1	0.0607048	
SplitLumpNodesRevJumpSampler	0.0370116	269	6999	4	1	
SplitLumpNodesRevJumpSampler	0.0480568	345	6834	4	10	
SplitLumpNodesRevJumpSampler	0.0165831	119	7057	4	100	
TreeScaler	0.495784	882	897	1	0.0426114	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00308668	37	11950	6	none	
NeighborHeightNodeSwap	0.00303567	36	11823	6	none	
GlobalHeightSizeMixer	0.451464	879	1068	1	0.0268236	
GlobalHeightSizeRateScaler	0.430187	875	1159	1	0.0277159	
GlobalNodeHeightDirichletOperator	0.343147	8928	17090	1	0.000206379	
GlobalPopSizeScaler	0.445636	914	1137	1	0.0461265	
NodeHeightDirichletOperator	0.626689	7514	4476	6	0.00755939	
NodeHeightMover	0.373999	4531	7584	6	0.000253092	
NodeHeightScaler	0.528018	6351	5677	6	0.0958424	
NodeHeightSlideBumpScaler	0.494635	5993	6123	6	0.109227	
NodeHeightSlideBumpSwapScaler	0.487134	5793	6099	6	0.108059	
RootHeightScaler	0.561501	14585	11390	1	0.0612319	
SplitLumpNodesRevJumpSampler	0.0375249	302	7746	4	1	
SplitLumpNodesRevJumpSampler	0.0473143	377	7591	4	10	
SplitLumpNodesRevJumpSampler	0.0162622	130	7864	4	100	
TreeScaler	0.49423	985	1008	1	0.0429508	
