generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-112542.389316117886	10.8490496471961109	1	1	1	0.0111044097358557158	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-110426.115015480726	29.2421231831341828	1	1	5	0.0106105807019998537	1	0.5	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999	0.000503971564163117999
20	-109275.28387049117	39.0003584253073257	1	1	7	0.0104676787301739918	1	0.5	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234	0.000511111614318607234
30	-108312.465787156209	39.0387363569873997	1	1	7	0.0102939416857544697	1	0.5	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047	0.000528417713645131047
40	-106213.36060263119	53.1126524029479441	1	1	10	0.0108853816892681438	1	0.5	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489	0.000533330005865313489
50	-105042.648669196205	58.8130904815021012	1	1	11	0.0113808696630730132	1	0.5	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158	0.000551429939284484158
60	-104160.388364613638	60.4709921765379619	1	1	11	0.0107673549149457353	1	0.5	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511	0.000580075556968128511
70	-103562.160783867716	61.9906246679544992	1	1	11	0.00967923458504072257	1	0.5	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565	0.000588037239042092565
80	-102807.141387957978	63.8367632696277667	1	1	11	0.00912497317440096392	1	0.5	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294	0.000648424469375682294
90	-102408.853722711225	53.1043713113837441	1	1	9	0.00815172969992711792	1	0.5	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139	0.000672706305341017139
