generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-94557.1694263059762	11.8515245959607807	1	1	1	0.00107966024820902785	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-92714.0466258079832	38.6166074685212379	1	1	5	0.00132421080055657951	1	0.5	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325	0.000493444214153659325
20	-90743.4190918030508	51.6705792787206803	1	1	7	0.0015614109149105933	1	0.5	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444	0.000474020566996726444
30	-89860.9212823418784	57.8742154609354458	1	1	8	0.00173625188741620504	1	0.5	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384	0.000465240492245919384
40	-88433.6480681997491	44.0551917834379907	1	1	6	0.00207096298083869106	1	0.5	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651	0.000454174083452138651
50	-87371.5116512480017	49.5252074530566091	1	1	7	0.00251461298869486974	1	0.5	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184	0.000456193982196828184
60	-86528.1143232908507	62.0229628946184732	1	1	9	0.0028180189226802029	1	0.5	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709	0.000441368672077653709
70	-86126.2478964669135	62.1170943538258626	1	1	9	0.00315326816272294263	1	0.5	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234	0.000438659907560846234
80	-85581.0552306176978	55.9580836638349624	1	1	8	0.0038518535216034936	1	0.5	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702	0.000436410321985074702
90	-85368.0097482944839	56.3153668311163216	1	1	8	0.00421748573403831102	1	0.5	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397	0.000460027831707780397
100	-85184.92832368362	61.1301096369083581	1	1	9	0.0046790299053338473	1	0.5	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052	0.00047880204678479052
110	-84993.6749899984425	59.9273286969079138	1	1	9	0.00578365783478749975	1	0.5	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204	0.000473101111729018204
120	-84848.6945261859946	59.4431204639351733	1	1	9	0.00696375033672220686	1	0.5	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227	0.000475297495696738227
130	-84765.5368021316099	59.1677437008798819	1	1	9	0.00759992487069277405	1	0.5	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922	0.000498494924937010922
140	-84679.2949724612263	63.4382876809870808	1	1	10	0.00836545350863325543	1	0.5	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837	0.000520057072933230837
150	-84630.0050700059073	58.1650638384104894	1	1	9	0.00893343504896017444	1	0.5	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409	0.000529094325237185409
160	-84583.2802734881843	53.3144144081302827	1	1	8	0.00916637713553179745	1	0.5	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713	0.000550993271442826713
