generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00922045	11	1182	6	none	
NeighborHeightNodeSwap	0.010425	13	1234	6	none	
GlobalHeightSizeMixer	0.444954	97	121	1	0.0343668	
GlobalHeightSizeRateScaler	0.568075	121	92	1	0.0292865	
GlobalNodeHeightDirichletOperator	0.287423	745	1847	1	0.000281046	
GlobalPopSizeScaler	0.533654	111	97	1	0.0502033	
NodeHeightDirichletOperator	0.689145	838	378	6	0.00499679	
NodeHeightMover	0.178541	213	980	6	0.000630402	
NodeHeightScaler	0.599829	700	467	6	0.0820209	
NodeHeightSlideBumpScaler	0.67237	786	383	6	0.0600374	
NodeHeightSlideBumpSwapScaler	0.647887	736	400	6	0.0618125	
RootHeightScaler	0.414439	1085	1533	1	0.0506093	
SplitLumpNodesRevJumpSampler	0.0514139	40	738	4	1	
SplitLumpNodesRevJumpSampler	0.0673077	56	776	4	10	
SplitLumpNodesRevJumpSampler	0.0115385	9	771	4	100	
TreeScaler	0.600917	131	87	1	0.0413777	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00654397	16	2429	6	none	
NeighborHeightNodeSwap	0.00703351	17	2400	6	none	
GlobalHeightSizeMixer	0.436585	179	231	1	0.0342251	
GlobalHeightSizeRateScaler	0.522193	200	183	1	0.0296998	
GlobalNodeHeightDirichletOperator	0.300367	1555	3622	1	0.000256458	
GlobalPopSizeScaler	0.523573	211	192	1	0.0530247	
NodeHeightDirichletOperator	0.690809	1631	730	6	0.00584564	
NodeHeightMover	0.193319	463	1932	6	0.000533895	
NodeHeightScaler	0.571192	1380	1036	6	0.0887103	
NodeHeightSlideBumpScaler	0.652413	1541	821	6	0.0692876	
NodeHeightSlideBumpSwapScaler	0.622194	1469	892	6	0.069734	
RootHeightScaler	0.406711	2121	3094	1	0.0493975	
SplitLumpNodesRevJumpSampler	0.0446822	71	1518	4	1	
SplitLumpNodesRevJumpSampler	0.058147	91	1474	4	10	
SplitLumpNodesRevJumpSampler	0.0105459	17	1595	4	100	
TreeScaler	0.551313	231	188	1	0.0435741	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00463468	17	3651	6	none	
NeighborHeightNodeSwap	0.00528806	19	3574	6	none	
