generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-89793.4966573460842	11.5401832650720593	1	1	1	0.00419307355709624963	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-88504.1045607761189	33.4541646774436998	1	1	5	0.00444982515063744449	1	0.5	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334	0.00052795583972369334
20	-86313.9884666374564	39.5258116667272787	1	1	6	0.00464850019908742782	1	0.5	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507
30	-85502.2405735740758	62.18188738050236	1	1	10	0.00539283804863811573	1	0.5	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507	0.000569219108904727507
40	-84974.922941479279	57.0677173376935656	1	1	9	0.00519459260538500736	1	0.5	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733	0.000587501545663550733
50	-84899.9815736939781	57.3302328892614668	1	1	9	0.00501535721070485354	1	0.5	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446	0.000594484142738571446
60	-84682.3047025544074	62.4752911725870135	1	1	10	0.00522198373670183617	1	0.5	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587	0.000616607409523359587
70	-84176.5286502112431	68.5306021346508061	1	1	11	0.00532245829858043681	1	0.5	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853	0.000638075084348723853
80	-84049.349125013774	68.7224296201171398	1	1	11	0.00557410675089290309	1	0.5	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311	0.000653766434964793311
90	-83909.9801122131903	68.8272235294976724	1	1	11	0.00576805233839226827	1	0.5	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361	0.000682130582377648361
100	-83782.6581343223952	58.2621961676891331	1	1	9	0.00588462793370791038	1	0.5	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665	0.000728012837976465665
110	-83694.6605467138143	57.1341139119155983	1	1	9	0.00655661349199455554	1	0.5	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431	0.000761821430035282431
120	-83642.8050539760297	56.6026283448680942	1	1	9	0.00701623096353561331	1	0.5	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247	0.000792976595519291247
130	-83594.8481675184012	56.3712824300828714	1	1	9	0.00693198265715440527	1	0.5	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425	0.000849551860890840425
140	-83587.3007862167287	55.9776734811373871	1	1	9	0.00735381933094164664	1	0.5	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449	0.000855099116797305449
150	-83555.1913752236869	60.9563232897271519	1	1	10	0.00740652682572344716	1	0.5	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227	0.000894136538010468227
