generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00982615	13	1310	6.5	none	
NeighborHeightNodeSwap	0.00738007	10	1345	6.5	none	
GlobalHeightSizeMixer	0.409574	77	111	1	0.032685	
GlobalHeightSizeRateScaler	0.522222	94	86	1	0.027908	
GlobalNodeHeightDirichletOperator	0.354035	1009	1841	1	0.000243942	
GlobalPopSizeScaler	0.485849	103	109	1	0.0521535	
NodeHeightDirichletOperator	0.688747	863	390	6.5	0.00580059	
NodeHeightMover	0.250983	319	952	6.5	0.000332111	
NodeHeightScaler	0.607681	807	521	6.5	0.0716901	
NodeHeightSlideBumpScaler	0.611239	794	505	6.5	0.0804406	
NodeHeightSlideBumpSwapScaler	0.607976	808	521	6.5	0.0757852	
RootHeightScaler	0.614416	1756	1102	1	0.0634004	
SplitLumpNodesRevJumpSampler	0.0214932	19	865	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0349345	32	884	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0186263	16	843	4.33333	100	
TreeScaler	0.608911	123	79	1	0.040973	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00617761	16	2574	6.5	none	
NeighborHeightNodeSwap	0.00404858	11	2706	6.5	none	
GlobalHeightSizeMixer	0.415344	157	221	1	0.0319787	
GlobalHeightSizeRateScaler	0.527415	202	181	1	0.0302744	
GlobalNodeHeightDirichletOperator	0.354377	2032	3702	1	0.000228315	
GlobalPopSizeScaler	0.473039	193	215	1	0.0520659	
NodeHeightDirichletOperator	0.676029	1757	842	6.5	0.00684579	
NodeHeightMover	0.276336	703	1841	6.5	0.000300559	
NodeHeightScaler	0.595506	1537	1044	6.5	0.0782284	
NodeHeightSlideBumpScaler	0.58311	1526	1091	6.5	0.0871036	
NodeHeightSlideBumpSwapScaler	0.582642	1544	1106	6.5	0.0821522	
RootHeightScaler	0.584226	3326	2367	1	0.0684758	
SplitLumpNodesRevJumpSampler	0.0244041	43	1719	4.33333	1	
SplitLumpNodesRevJumpSampler	0.037493	67	1720	4.33333	10	
SplitLumpNodesRevJumpSampler	0.013544	24	1748	4.33333	100	
TreeScaler	0.569712	237	179	1	0.044374	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00463918	18	3862	6.5	none	
NeighborHeightNodeSwap	0.00341797	14	4082	6.5	none	
GlobalHeightSizeMixer	0.411966	241	344	1	0.0315087	
GlobalHeightSizeRateScaler	0.519525	306	283	1	0.0313616	
GlobalNodeHeightDirichletOperator	0.349588	2968	5522	1	0.000219623	
GlobalPopSizeScaler	0.464463	281	324	1	0.0517967	
NodeHeightDirichletOperator	0.669861	2656	1309	6.5	0.00745488	
NodeHeightMover	0.294588	1143	2737	6.5	0.000286465	
NodeHeightScaler	0.583612	2265	1616	6.5	0.0820751	
NodeHeightSlideBumpScaler	0.573839	2211	1642	6.5	0.090671	
