generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0126866	17	1323	6.5	none	
NeighborHeightNodeSwap	0.0113293	15	1309	6.5	none	
GlobalHeightSizeMixer	0.530233	114	101	1	0.0331832	
GlobalHeightSizeRateScaler	0.577889	115	84	1	0.0325631	
GlobalNodeHeightDirichletOperator	0.394916	1103	1690	1	0.000187387	
GlobalPopSizeScaler	0.590674	114	79	1	0.0578271	
NodeHeightDirichletOperator	0.7099	925	378	6.5	0.00476174	
NodeHeightMover	0.277259	356	928	6.5	0.000352899	
NodeHeightScaler	0.623511	785	474	6.5	0.0775221	
NodeHeightSlideBumpScaler	0.54755	760	628	6.5	0.102315	
NodeHeightSlideBumpSwapScaler	0.581704	744	535	6.5	0.0882939	
RootHeightScaler	0.512335	1433	1364	1	0.0740844	
SplitLumpNodesRevJumpSampler	0.0719424	60	774	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0476718	43	859	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0213018	18	827	4.33333	100	
TreeScaler	0.566138	107	82	1	0.0369223	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00713481	19	2644	6.5	none	
NeighborHeightNodeSwap	0.00833333	22	2618	6.5	none	
GlobalHeightSizeMixer	0.503632	208	205	1	0.0346198	
GlobalHeightSizeRateScaler	0.518519	210	195	1	0.0331311	
GlobalNodeHeightDirichletOperator	0.389513	2184	3423	1	0.00017962	
GlobalPopSizeScaler	0.556675	221	176	1	0.0614691	
NodeHeightDirichletOperator	0.704184	1902	799	6.5	0.00580473	
NodeHeightMover	0.294773	767	1835	6.5	0.000322633	
NodeHeightScaler	0.586546	1491	1051	6.5	0.0846298	
NodeHeightSlideBumpScaler	0.523503	1381	1257	6.5	0.107224	
NodeHeightSlideBumpSwapScaler	0.551252	1409	1147	6.5	0.0945617	
RootHeightScaler	0.507511	2838	2754	1	0.0772191	
SplitLumpNodesRevJumpSampler	0.0508677	85	1586	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0374093	67	1724	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0198482	34	1679	4.33333	100	
TreeScaler	0.548628	220	181	1	0.0409622	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0075	30	3970	6.5	none	
NeighborHeightNodeSwap	0.00638896	25	3888	6.5	none	
GlobalHeightSizeMixer	0.489327	298	311	1	0.0349448	
GlobalHeightSizeRateScaler	0.503226	312	308	1	0.0333775	
GlobalNodeHeightDirichletOperator	0.385967	3251	5172	1	0.000175564	
GlobalPopSizeScaler	0.52649	318	286	1	0.0619931	
NodeHeightDirichletOperator	0.691825	2759	1229	6.5	0.00632206	
NodeHeightMover	0.308687	1194	2674	6.5	0.000309835	
NodeHeightScaler	0.571726	2196	1645	6.5	0.0886663	
NodeHeightSlideBumpScaler	0.519586	2056	1901	6.5	0.110307	
NodeHeightSlideBumpSwapScaler	0.548734	2145	1764	6.5	0.0986074	
RootHeightScaler	0.503273	4229	4174	1	0.0789389	
SplitLumpNodesRevJumpSampler	0.0460578	118	2444	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0414334	111	2568	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0212431	54	2488	4.33333	100	
