generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-78134.7294726096297	10.5534357010097111	1	1	1	0.0140605491977197142	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-77763.8742105660058	23.4652724729403488	1	1	4	0.0136583944822738085	1	0.5	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137	0.000524265748080512137
20	-75878.7090644104173	28.1488561078628869	1	1	5	0.0132401027995993903	1	0.5	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382	0.000530964706943096382
30	-75164.4190703728964	32.8956055086448274	1	1	6	0.0123268462789226669	1	0.5	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149	0.000549446535206005149
40	-73990.7807210412284	46.8894628122276629	1	1	9	0.0122384393699100681	1	0.5	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767	0.000572448242149465767
50	-73412.4283235282928	52.1224327613159133	1	1	10	0.0127145721076743125	1	0.5	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149	0.000602715559470452149
60	-72631.2170540632214	57.4828076572889302	1	1	11	0.0119118994024564901	1	0.5	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301	0.000607114090790455301
70	-72181.1451927153685	62.7866822546534067	1	1	12	0.0114862224709523109	1	0.5	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582	0.000629539748068242582
80	-71624.4807694463234	58.9143290990841209	1	1	11	0.0110771452997291894	1	0.5	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203	0.000671567827749863203
90	-71096.5436721049628	59.9032242004838906	1	1	11	0.0106887510933867235	1	0.5	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352	0.000690789620625379352
