generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0112835	16	1402	7	none	
NeighborHeightNodeSwap	0.0144404	20	1365	7	none	
GlobalHeightSizeMixer	0.469697	93	105	1	0.0480105	
GlobalHeightSizeRateScaler	0.6	120	80	1	0.0373163	
GlobalNodeHeightDirichletOperator	0.369231	1104	1886	1	0.000219745	
GlobalPopSizeScaler	0.521505	97	89	1	0.0631038	
NodeHeightDirichletOperator	0.723675	1024	391	7	0.00615668	
NodeHeightMover	0.255634	363	1057	7	0.000521304	
NodeHeightScaler	0.612544	879	556	7	0.0862718	
NodeHeightSlideBumpScaler	0.603089	898	591	7	0.0869149	
NodeHeightSlideBumpSwapScaler	0.623288	910	550	7	0.0905143	
RootHeightScaler	0.608608	1810	1164	1	0.0583318	
SplitLumpNodesRevJumpSampler	0.0682557	63	860	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0687104	65	881	4.66667	10	
SplitLumpNodesRevJumpSampler	0.020585	19	904	4.66667	100	
TreeScaler	0.638889	138	78	1	0.0415466	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00746534	21	2792	7	none	
NeighborHeightNodeSwap	0.00891902	25	2778	7	none	
GlobalHeightSizeMixer	0.459259	186	219	1	0.0494835	
GlobalHeightSizeRateScaler	0.536946	218	188	1	0.0390056	
GlobalNodeHeightDirichletOperator	0.36679	2189	3779	1	0.000208237	
GlobalPopSizeScaler	0.52957	197	175	1	0.0669788	
NodeHeightDirichletOperator	0.717196	2077	819	7	0.00757488	
NodeHeightMover	0.278419	796	2063	7	0.000474775	
NodeHeightScaler	0.591643	1685	1163	7	0.094198	
NodeHeightSlideBumpScaler	0.5758	1637	1206	7	0.0940413	
NodeHeightSlideBumpSwapScaler	0.579637	1725	1251	7	0.0978904	
RootHeightScaler	0.586546	3514	2477	1	0.0637549	
SplitLumpNodesRevJumpSampler	0.0476948	90	1797	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0626338	117	1751	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0175921	32	1787	4.66667	100	
TreeScaler	0.600515	233	155	1	0.0450467	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00665716	28	4178	7	none	
NeighborHeightNodeSwap	0.00853081	36	4184	7	none	
GlobalHeightSizeMixer	0.465347	282	324	1	0.0504009	
GlobalHeightSizeRateScaler	0.513245	310	294	1	0.0395758	
GlobalNodeHeightDirichletOperator	0.37359	3378	5664	1	0.000202675	
GlobalPopSizeScaler	0.512953	297	282	1	0.0687966	
NodeHeightDirichletOperator	0.713819	3058	1226	7	0.00841082	
NodeHeightMover	0.292689	1253	3028	7	0.00045398	
NodeHeightScaler	0.569496	2442	1846	7	0.0971706	
NodeHeightSlideBumpScaler	0.565014	2416	1860	7	0.0983134	
NodeHeightSlideBumpSwapScaler	0.565168	2489	1915	7	0.101372	
RootHeightScaler	0.570148	5153	3885	1	0.0664692	
SplitLumpNodesRevJumpSampler	0.0404745	116	2750	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0549729	152	2613	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0157706	44	2746	4.66667	100	
TreeScaler	0.582624	342	245	1	0.0472055	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00565371	32	5628	7	none	
NeighborHeightNodeSwap	0.00744417	42	5600	7	none	
GlobalHeightSizeMixer	0.440491	359	456	1	0.0497944	
GlobalHeightSizeRateScaler	0.498807	418	420	1	0.0397134	
GlobalNodeHeightDirichletOperator	0.379945	4581	7476	1	0.000199352	
GlobalPopSizeScaler	0.512438	412	392	1	0.0703951	
NodeHeightDirichletOperator	0.707051	4021	1666	7	0.00904044	
NodeHeightMover	0.304348	1729	3952	7	0.000440292	
NodeHeightScaler	0.552581	3137	2540	7	0.099164	
NodeHeightSlideBumpScaler	0.554727	3198	2567	7	0.101351	
NodeHeightSlideBumpSwapScaler	0.550475	3190	2605	7	0.102922	
RootHeightScaler	0.557091	6694	5322	1	0.068157	
SplitLumpNodesRevJumpSampler	0.0365021	139	3669	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0505847	186	3491	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0128824	48	3678	4.66667	100	
TreeScaler	0.571615	439	329	1	0.0482347	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00533483	38	7085	7	none	
NeighborHeightNodeSwap	0.00625355	44	6992	7	none	
GlobalHeightSizeMixer	0.432432	432	567	1	0.0490785	
GlobalHeightSizeRateScaler	0.490672	526	546	1	0.0400922	
GlobalNodeHeightDirichletOperator	0.37998	5732	9353	1	0.000196711	
GlobalPopSizeScaler	0.512463	514	489	1	0.0709197	
NodeHeightDirichletOperator	0.700071	4946	2119	7	0.0095075	
NodeHeightMover	0.312642	2206	4850	7	0.000431531	
NodeHeightScaler	0.544772	3918	3274	7	0.101309	
NodeHeightSlideBumpScaler	0.544341	3910	3273	7	0.103271	
NodeHeightSlideBumpSwapScaler	0.541191	3889	3297	7	0.104288	
