generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_unknown	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-61450.7439718434325	11.2288791869827271	1	1	1	0.00730611433798956759	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-60533.8208311186609	26.0326283199934068	1	1	4	0.00742318324096795205	1	0.5	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039	0.000510375177755600039
20	-59660.7654629324825	41.210985219765611	1	1	7	0.00778127402844418919	1	0.5	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235	0.000516470810854659235
30	-58716.4379597080115	50.7819602659096319	1	1	9	0.00758214558896323169	1	0.5	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369	0.000534776957953359369
40	-58218.9995614742656	51.1235034459332951	1	1	9	0.00759154020675832999	1	0.5	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356	0.000533775494585022356
50	-57961.3797366002254	56.5562244438330097	1	1	10	0.00780637706913168538	1	0.5	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697	0.000538395233971142697
60	-57601.2397917195922	57.571307558393876	1	1	10	0.00740833776538673758	1	0.5	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946	0.000564924878515246946
70	-57200.5411821501475	53.4204178872788944	1	1	9	0.00796771024696607023	1	0.5	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216	0.000604800067894750216
80	-56852.4724895951222	65.9621695406556654	1	1	11	0.00797248977442448561	1	0.5	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417
90	-56699.0763878332364	66.1023634852728463	1	1	11	0.00853880264653617861	1	0.5	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417	0.000627388870394951417
