generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0103538	12	1147	6	none	
NeighborHeightNodeSwap	0.0108878	13	1181	6	none	
GlobalHeightSizeMixer	0.430851	81	107	1	0.0268769	
GlobalHeightSizeRateScaler	0.513089	98	93	1	0.0267002	
GlobalNodeHeightDirichletOperator	0.363498	952	1667	1	0.000202816	
GlobalPopSizeScaler	0.532407	115	101	1	0.0445842	
NodeHeightDirichletOperator	0.695917	801	350	6	0.00388206	
NodeHeightMover	0.158957	189	1000	6	0.000601371	
NodeHeightScaler	0.589129	737	514	6	0.0816	
NodeHeightSlideBumpScaler	0.615772	734	458	6	0.0733356	
NodeHeightSlideBumpSwapScaler	0.655144	796	419	6	0.0692624	
RootHeightScaler	0.653303	1711	908	1	0.0447287	
SplitLumpNodesRevJumpSampler	0.0540216	45	788	4	1	
SplitLumpNodesRevJumpSampler	0.0826873	64	710	4	10	
SplitLumpNodesRevJumpSampler	0.0223325	18	788	4	100	
TreeScaler	0.554502	117	94	1	0.0363158	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00548292	13	2358	6	none	
NeighborHeightNodeSwap	0.00658436	16	2414	6	none	
GlobalHeightSizeMixer	0.409548	163	235	1	0.0263046	
GlobalHeightSizeRateScaler	0.502646	190	188	1	0.0278695	
GlobalNodeHeightDirichletOperator	0.361133	1862	3294	1	0.0001919	
GlobalPopSizeScaler	0.506173	205	200	1	0.045327	
NodeHeightDirichletOperator	0.67234	1580	770	6	0.00460228	
NodeHeightMover	0.168859	398	1959	6	0.000503252	
NodeHeightScaler	0.554076	1373	1105	6	0.0867776	
NodeHeightSlideBumpScaler	0.602187	1432	946	6	0.081449	
NodeHeightSlideBumpSwapScaler	0.611631	1504	955	6	0.076422	
RootHeightScaler	0.634259	3288	1896	1	0.0503279	
SplitLumpNodesRevJumpSampler	0.0437158	72	1575	4	1	
SplitLumpNodesRevJumpSampler	0.0671885	103	1430	4	10	
SplitLumpNodesRevJumpSampler	0.0178004	28	1545	4	100	
TreeScaler	0.544757	213	178	1	0.0386653	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00367024	13	3529	6	none	
NeighborHeightNodeSwap	0.00498063	18	3596	6	none	
GlobalHeightSizeMixer	0.443333	266	334	1	0.0266381	
GlobalHeightSizeRateScaler	0.477718	268	293	1	0.0276402	
GlobalNodeHeightDirichletOperator	0.361845	2809	4954	1	0.000186618	
GlobalPopSizeScaler	0.485149	294	312	1	0.0455245	
NodeHeightDirichletOperator	0.674709	2433	1173	6	0.00509438	
NodeHeightMover	0.186615	672	2929	6	0.000457749	
NodeHeightScaler	0.537582	1974	1698	6	0.0891801	
NodeHeightSlideBumpScaler	0.577628	2050	1499	6	0.0845807	
NodeHeightSlideBumpSwapScaler	0.59742	2177	1467	6	0.0803552	
RootHeightScaler	0.616669	4802	2985	1	0.0532268	
SplitLumpNodesRevJumpSampler	0.0383347	93	2333	4	1	
SplitLumpNodesRevJumpSampler	0.0653373	154	2203	4	10	
SplitLumpNodesRevJumpSampler	0.0189633	45	2328	4	100	
TreeScaler	0.548061	325	268	1	0.0404633	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00353872	17	4787	6	none	
NeighborHeightNodeSwap	0.00435143	21	4805	6	none	
GlobalHeightSizeMixer	0.448529	366	450	1	0.0267561	
GlobalHeightSizeRateScaler	0.468254	354	402	1	0.0277423	
GlobalNodeHeightDirichletOperator	0.366448	3803	6575	1	0.000183292	
GlobalPopSizeScaler	0.464634	381	439	1	0.0453868	
NodeHeightDirichletOperator	0.67395	3208	1552	6	0.00544278	
NodeHeightMover	0.199708	957	3835	6	0.0004309	
NodeHeightScaler	0.532328	2577	2264	6	0.0910016	
NodeHeightSlideBumpScaler	0.569094	2681	2030	6	0.0872431	
NodeHeightSlideBumpSwapScaler	0.582244	2807	2014	6	0.0824841	
RootHeightScaler	0.604269	6285	4116	1	0.0551729	
SplitLumpNodesRevJumpSampler	0.0377771	121	3082	4	1	
SplitLumpNodesRevJumpSampler	0.0595052	190	3003	4	10	
SplitLumpNodesRevJumpSampler	0.0189334	60	3109	4	100	
TreeScaler	0.539586	443	378	1	0.0413225	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00301407	18	5954	6	none	
NeighborHeightNodeSwap	0.00367034	22	5972	6	none	
GlobalHeightSizeMixer	0.441118	442	560	1	0.0267536	
GlobalHeightSizeRateScaler	0.457895	435	515	1	0.0276878	
GlobalNodeHeightDirichletOperator	0.372257	4801	8096	1	0.000181264	
GlobalPopSizeScaler	0.457547	485	575	1	0.0450995	
NodeHeightDirichletOperator	0.662771	3970	2020	6	0.00567698	
NodeHeightMover	0.211363	1276	4761	6	0.000412727	
NodeHeightScaler	0.525206	3188	2882	6	0.0925091	
NodeHeightSlideBumpScaler	0.560013	3336	2621	6	0.0890407	
NodeHeightSlideBumpSwapScaler	0.571618	3440	2578	6	0.0842996	
RootHeightScaler	0.59316	7666	5258	1	0.0564977	
SplitLumpNodesRevJumpSampler	0.0359387	143	3836	4	1	
SplitLumpNodesRevJumpSampler	0.0568613	225	3732	4	10	
SplitLumpNodesRevJumpSampler	0.0184437	73	3885	4	100	
TreeScaler	0.526368	529	476	1	0.0414129	
generation 6000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00280308	20	7115	6	none	
NeighborHeightNodeSwap	0.0036242	26	7148	6	none	
GlobalHeightSizeMixer	0.431485	529	697	1	0.0266127	
GlobalHeightSizeRateScaler	0.455652	524	626	1	0.0276764	
GlobalNodeHeightDirichletOperator	0.375129	5825	9703	1	0.000179571	
GlobalPopSizeScaler	0.449402	564	691	1	0.0448063	
NodeHeightDirichletOperator	0.656158	4704	2465	6	0.0058705	
NodeHeightMover	0.218187	1586	5683	6	0.000399271	
NodeHeightScaler	0.520077	3782	3490	6	0.093584	
NodeHeightSlideBumpScaler	0.55568	3982	3184	6	0.0908031	
NodeHeightSlideBumpSwapScaler	0.568507	4087	3102	6	0.085889	
RootHeightScaler	0.582115	9042	6491	1	0.0574446	
SplitLumpNodesRevJumpSampler	0.036565	175	4611	4	1	
SplitLumpNodesRevJumpSampler	0.0569872	272	4501	4	10	
SplitLumpNodesRevJumpSampler	0.0179023	85	4663	4	100	
TreeScaler	0.513491	628	595	1	0.0416706	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00263852	22	8316	6	none	
NeighborHeightNodeSwap	0.00348014	29	8304	6	none	
GlobalHeightSizeMixer	0.439093	620	792	1	0.0268353	
GlobalHeightSizeRateScaler	0.446715	612	758	1	0.0275583	
GlobalNodeHeightDirichletOperator	0.379659	6906	11284	1	0.000178174	
GlobalPopSizeScaler	0.442177	650	820	1	0.0447802	
NodeHeightDirichletOperator	0.652606	5446	2899	6	0.00604087	
NodeHeightMover	0.223624	1897	6586	6	0.00038839	
NodeHeightScaler	0.52214	4422	4047	6	0.094805	
NodeHeightSlideBumpScaler	0.553497	4630	3735	6	0.092229	
NodeHeightSlideBumpSwapScaler	0.563276	4718	3658	6	0.0871837	
RootHeightScaler	0.578849	10509	7646	1	0.058446	
SplitLumpNodesRevJumpSampler	0.0365028	205	5411	4	1	
SplitLumpNodesRevJumpSampler	0.0546664	304	5257	4	10	
SplitLumpNodesRevJumpSampler	0.0181426	101	5466	4	100	
TreeScaler	0.509859	724	696	1	0.0419742	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00251572	24	9516	6	none	
NeighborHeightNodeSwap	0.00325289	31	9499	6	none	
GlobalHeightSizeMixer	0.432266	702	922	1	0.026685	
GlobalHeightSizeRateScaler	0.441905	696	879	1	0.0275497	
GlobalNodeHeightDirichletOperator	0.381429	7920	12844	1	0.000176964	
GlobalPopSizeScaler	0.435494	719	932	1	0.0446043	
NodeHeightDirichletOperator	0.651632	6227	3329	6	0.00620537	
NodeHeightMover	0.229188	2219	7463	6	0.000379989	
NodeHeightScaler	0.520801	5020	4619	6	0.0957248	
NodeHeightSlideBumpScaler	0.549639	5254	4305	6	0.0932413	
NodeHeightSlideBumpSwapScaler	0.558038	5370	4253	6	0.0882214	
RootHeightScaler	0.573999	11899	8831	1	0.0591457	
SplitLumpNodesRevJumpSampler	0.0378125	242	6158	4	1	
SplitLumpNodesRevJumpSampler	0.055259	352	6018	4	10	
SplitLumpNodesRevJumpSampler	0.0207809	132	6220	4	100	
TreeScaler	0.50889	830	801	1	0.0422787	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00252195	27	10679	6	none	
NeighborHeightNodeSwap	0.00325188	35	10728	6	none	
GlobalHeightSizeMixer	0.435687	796	1031	1	0.0267131	
GlobalHeightSizeRateScaler	0.444444	800	1000	1	0.0275881	
GlobalNodeHeightDirichletOperator	0.381831	8936	14467	1	0.000175831	
GlobalPopSizeScaler	0.440431	817	1038	1	0.0448188	
NodeHeightDirichletOperator	0.653782	7070	3744	6	0.00637351	
NodeHeightMover	0.235159	2551	8297	6	0.000372848	
NodeHeightScaler	0.51954	5597	5176	6	0.0962999	
NodeHeightSlideBumpScaler	0.546045	5882	4890	6	0.094129	
NodeHeightSlideBumpSwapScaler	0.553825	5973	4812	6	0.0890792	
RootHeightScaler	0.569821	13319	10055	1	0.0597929	
SplitLumpNodesRevJumpSampler	0.038045	274	6928	4	1	
SplitLumpNodesRevJumpSampler	0.0546918	394	6810	4	10	
SplitLumpNodesRevJumpSampler	0.020014	143	7002	4	100	
TreeScaler	0.510204	925	888	1	0.0425253	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00251572	30	11895	6	none	
NeighborHeightNodeSwap	0.00308925	37	11940	6	none	
GlobalHeightSizeMixer	0.438477	898	1150	1	0.0267124	
GlobalHeightSizeRateScaler	0.441147	892	1130	1	0.0275668	
GlobalNodeHeightDirichletOperator	0.383843	9973	16009	1	0.000175005	
GlobalPopSizeScaler	0.45122	925	1125	1	0.0452071	
NodeHeightDirichletOperator	0.650346	7797	4192	6	0.00648413	
NodeHeightMover	0.239967	2888	9147	6	0.000367079	
NodeHeightScaler	0.514579	6159	5810	6	0.0966064	
NodeHeightSlideBumpScaler	0.543096	6490	5460	6	0.0949448	
NodeHeightSlideBumpSwapScaler	0.549708	6591	5399	6	0.0897777	
RootHeightScaler	0.567029	14728	11246	1	0.0603954	
SplitLumpNodesRevJumpSampler	0.0379478	304	7707	4	1	
SplitLumpNodesRevJumpSampler	0.0538336	429	7540	4	10	
SplitLumpNodesRevJumpSampler	0.0203594	162	7795	4	100	
TreeScaler	0.505976	1016	992	1	0.0426858	
