generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-112793.740522876731	10.7864506368463324	1	1	1	0.0117303998393535232	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-109727.410108393058	32.9948709754957648	1	1	6	0.012849209902547518	1	0.5	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152	0.000520373234968898152
20	-108126.868687633949	37.749709250708392	1	1	7	0.0125425751225016775	1	0.5	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965	0.000542600467987776965
30	-106941.175968639509	42.9076211681667985	1	1	8	0.0124996693305294091	1	0.5	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151	0.000553416869567412151
40	-105891.424775164327	57.7130730127608587	1	1	11	0.012500232616821717	1	0.5	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277
50	-105175.685644480604	58.9203967270248512	1	1	11	0.0115655300971997804	1	0.5	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277	0.00056647907806709277
60	-104213.235107044486	49.9828174739302113	1	1	9	0.0109690807608721699	1	0.5	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345	0.00059842111261549345
70	-103525.047869142072	51.815603141877169	1	1	9	0.00969188696129045374	1	0.5	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809	0.000652994497215469809
80	-103152.762484383886	58.6539679806716947	1	1	10	0.00886798135900330325	1	0.5	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357	0.000667722193172188357
90	-102769.300764944375	54.2308059091890868	1	1	9	0.00858253853636874002	1	0.5	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253	0.000694108814139874253
100	-102520.698952556573	60.0859974539662716	1	1	10	0.00780724178957417116	1	0.5	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384	0.000698034542462600384
110	-102362.551340468388	61.4905546398352101	1	1	10	0.00761860988529846576	1	0.5	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029	0.00072363780031715029
120	-102230.954957639391	56.6349231620536528	1	1	9	0.0074611988843499592	1	0.5	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739	0.000773279530240153739
130	-102078.57185195027	61.7990765443680772	1	1	10	0.00683319018432450818	1	0.5	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305	0.000817586203309976305
140	-102039.986349081068	61.3141709615077843	1	1	10	0.00713020824466387496	1	0.5	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911	0.000824209151615176911
150	-101958.875554974657	66.2635611251980663	1	1	11	0.00729202815446040788	1	0.5	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119	0.000866476980224048119
160	-101924.8987420911	60.523751789139709	1	1	10	0.00781117633989283303	1	0.5	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114	0.00089363808686386114
170	-101909.572216559551	60.5171525705682711	1	1	10	0.0077168601387051167	1	0.5	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513	0.00091759231916847513
180	-101895.885762640173	60.3225074689782232	1	1	10	0.00782763969148818871	1	0.5	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281	0.00094708920463297281
190	-101884.927031120314	59.7458544699493928	1	1	10	0.00799492110727679367	1	0.5	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712	0.000984848441671355712
200	-101878.156706623588	59.5285329147625291	1	1	10	0.00812177937054960053	1	0.5	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156
210	-101885.895399955843	54.5618433035096331	1	1	9	0.00799072602268616553	1	0.5	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156	0.00102074648662156
220	-101880.619630773363	54.6198757899053646	1	1	9	0.00807751856352458344	1	0.5	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145	0.00103272362576420145
230	-101878.743159274411	59.5109210231903347	1	1	10	0.00799687621813626077	1	0.5	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841	0.00103100505724714841
240	-101878.655283460423	59.6280585414727398	1	1	10	0.00848000293916109302	1	0.5	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476	0.00100621932677077476
250	-101876.019181024283	59.2378442890146033	1	1	10	0.00832544256269499017	1	0.5	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703	0.00104352236218597703
260	-101877.626963367642	58.9520297174653223	1	1	10	0.00848435531691874717	1	0.5	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675	0.00105518609778396675
270	-101879.424574719524	59.4153852748853524	1	1	10	0.00823768084659124919	1	0.5	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867	0.00102717447246565867
280	-101878.744342496691	59.2363678654579928	1	1	10	0.00826656836926240382	1	0.5	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638	0.00104306228721583638
290	-101878.990353767615	58.9021833571353213	1	1	10	0.00846225094142883522	1	0.5	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316	0.00106807245683099316
300	-101886.88307966436	59.0059405623643869	1	1	10	0.00847618076339300662	1	0.5	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378	0.00105040678735412378
310	-101885.383508617204	59.1209931015902512	1	1	10	0.00860019474984548629	1	0.5	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836	0.00104367954220372836
320	-101828.538893281802	58.9121625217193383	1	1	10	0.00885138122011107538	1	0.5	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551	0.00105251447201644551
330	-101820.280743419891	49.4326113552601143	1	1	8	0.00898998859570308319	1	0.5	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092	0.0010587740830859092
340	-101810.147581002355	59.493383899680893	1	1	10	0.0089507177116975381	1	0.5	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722	0.00104311679032834722
350	-101809.619311914095	59.5807613385938879	1	1	10	0.00890907974940512333	1	0.5	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605	0.00102246202138968605
360	-101809.258467045729	59.8264380395641879	1	1	10	0.00868629453030420919	1	0.5	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171	0.0010234477795207171
370	-101812.387150520299	54.5801052639354012	1	1	9	0.00901450336803668283	1	0.5	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909	0.00101967770979132909
380	-101807.626875458183	59.3269952543657269	1	1	10	0.00912192027607053139	1	0.5	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376	0.00101592868492005376
390	-101807.989511948341	59.2943546452110866	1	1	10	0.00891657577566719144	1	0.5	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527	0.00104692091923240527
400	-101809.482643980227	59.5704420783211361	1	1	10	0.00927380829988813313	1	0.5	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801	0.000999274705146542801
410	-101805.830224237245	64.3336934314282587	1	1	11	0.00869010673663658285	1	0.5	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388	0.00102557846065617388
420	-101795.683377855239	64.4376090142324216	1	1	11	0.00883289828765311189	1	0.5	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779	0.00101888002355987779
