burnin	sample_size	asdsf	psrf_tree_length	psrf_root_height	psrf_root_pop_size	ess_tree_length	ess_root_height	ess_root_pop_size
1	5000	0.00519024	1.00832	1.00977	1.00979	432.202	327.996	247.049
101	4500	0.00231927	0.999868	0.999751	1.00139	2869.61	2375.7	1963.01
201	4000	0.00253661	1.00017	0.999767	1.00118	2321.83	2317.06	1945.49
301	3500	0.00260416	1.00061	1.00013	1.00069	1644.09	1607.29	1287.93
401	3000	0.00220479	1.0001	0.99945	0.999419	2190.87	2077.68	1622.89
501	2500	0.00257527	0.99943	0.999283	0.999438	1925.21	1855.16	1239.49
601	2000	0.00276699	1.00064	1.00074	0.999366	1146.88	906.104	1141.62
701	1500	0.00295334	1.00076	1.00045	0.999319	819.486	722.814	811.891
801	1000	0.00432435	1.00012	1.00099	1.0002	452.785	393.587	479.607
901	500	0.00861974	1.0033	1.00983	1.01304	435.081	289.803	236.505
