generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00487409	6	1225	6	none	
NeighborHeightNodeSwap	0.00755668	9	1182	6	none	
GlobalHeightSizeMixer	0.447489	98	121	1	0.0298568	
GlobalHeightSizeRateScaler	0.541872	110	93	1	0.0320006	
GlobalNodeHeightDirichletOperator	0.392664	1017	1573	1	0.000182758	
GlobalPopSizeScaler	0.469697	93	105	1	0.0565516	
NodeHeightDirichletOperator	0.684302	789	364	6	0.0043645	
NodeHeightMover	0.26087	306	867	6	0.000323827	
NodeHeightScaler	0.558313	675	534	6	0.0982014	
NodeHeightSlideBumpScaler	0.56129	696	544	6	0.0889833	
NodeHeightSlideBumpSwapScaler	0.631003	749	438	6	0.0744723	
RootHeightScaler	0.57858	1491	1086	1	0.0340899	
SplitLumpNodesRevJumpSampler	0.047619	37	740	4	1	
SplitLumpNodesRevJumpSampler	0.057598	47	769	4	10	
SplitLumpNodesRevJumpSampler	0.0153846	12	768	4	100	
TreeScaler	0.632124	122	71	1	0.0349379	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00338839	8	2353	6	none	
NeighborHeightNodeSwap	0.00626305	15	2380	6	none	
GlobalHeightSizeMixer	0.405	162	238	1	0.0294375	
GlobalHeightSizeRateScaler	0.503778	200	197	1	0.0331029	
GlobalNodeHeightDirichletOperator	0.390017	2016	3153	1	0.000177259	
GlobalPopSizeScaler	0.469816	179	202	1	0.0591618	
NodeHeightDirichletOperator	0.679918	1659	781	6	0.00525625	
NodeHeightMover	0.296188	707	1680	6	0.00029748	
NodeHeightScaler	0.522681	1279	1168	6	0.102561	
NodeHeightSlideBumpScaler	0.541752	1317	1114	6	0.0939153	
NodeHeightSlideBumpSwapScaler	0.603427	1444	949	6	0.0823738	
RootHeightScaler	0.563978	2909	2249	1	0.0367549	
SplitLumpNodesRevJumpSampler	0.035533	56	1520	4	1	
SplitLumpNodesRevJumpSampler	0.0464377	73	1499	4	10	
SplitLumpNodesRevJumpSampler	0.0105919	17	1588	4	100	
TreeScaler	0.597403	230	155	1	0.0381929	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00366197	13	3537	6	none	
NeighborHeightNodeSwap	0.00578353	21	3610	6	none	
GlobalHeightSizeMixer	0.444992	271	338	1	0.03029	
GlobalHeightSizeRateScaler	0.486179	299	316	1	0.033382	
GlobalNodeHeightDirichletOperator	0.390307	3028	4730	1	0.000174572	
GlobalPopSizeScaler	0.45515	274	328	1	0.0595762	
NodeHeightDirichletOperator	0.675995	2464	1181	6	0.00575699	
NodeHeightMover	0.310931	1115	2471	6	0.000286207	
NodeHeightScaler	0.509172	1832	1766	6	0.104684	
NodeHeightSlideBumpScaler	0.537931	1950	1675	6	0.0973199	
NodeHeightSlideBumpSwapScaler	0.588053	2087	1462	6	0.0860351	
RootHeightScaler	0.549605	4249	3482	1	0.038023	
SplitLumpNodesRevJumpSampler	0.0367208	86	2256	4	1	
SplitLumpNodesRevJumpSampler	0.046206	109	2250	4	10	
SplitLumpNodesRevJumpSampler	0.0128258	31	2386	4	100	
TreeScaler	0.57541	351	259	1	0.0405851	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00379427	18	4726	6	none	
NeighborHeightNodeSwap	0.00454827	22	4815	6	none	
GlobalHeightSizeMixer	0.45398	365	439	1	0.0308192	
GlobalHeightSizeRateScaler	0.458637	377	445	1	0.0327954	
GlobalNodeHeightDirichletOperator	0.394572	4100	6291	1	0.000172867	
GlobalPopSizeScaler	0.45241	366	443	1	0.0593112	
NodeHeightDirichletOperator	0.668306	3262	1619	6	0.00612585	
NodeHeightMover	0.32542	1549	3211	6	0.000280696	
NodeHeightScaler	0.504	2394	2356	6	0.106281	
NodeHeightSlideBumpScaler	0.527931	2580	2307	6	0.0989325	
NodeHeightSlideBumpSwapScaler	0.576621	2713	1992	6	0.0887044	
RootHeightScaler	0.540248	5584	4752	1	0.0388508	
SplitLumpNodesRevJumpSampler	0.0370138	118	3070	4	1	
SplitLumpNodesRevJumpSampler	0.04384	137	2988	4	10	
SplitLumpNodesRevJumpSampler	0.012729	41	3180	4	100	
TreeScaler	0.570713	456	343	1	0.0418266	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0030247	18	5933	6	none	
NeighborHeightNodeSwap	0.00363336	22	6033	6	none	
GlobalHeightSizeMixer	0.459274	468	551	1	0.0309306	
GlobalHeightSizeRateScaler	0.440039	455	579	1	0.0325659	
GlobalNodeHeightDirichletOperator	0.397243	5159	7828	1	0.000171516	
GlobalPopSizeScaler	0.449119	459	563	1	0.0590674	
NodeHeightDirichletOperator	0.66447	4034	2037	6	0.00640102	
NodeHeightMover	0.3315	1989	4011	6	0.000275493	
NodeHeightScaler	0.502114	2969	2944	6	0.107315	
NodeHeightSlideBumpScaler	0.526828	3191	2866	6	0.100457	
NodeHeightSlideBumpSwapScaler	0.565462	3317	2549	6	0.0904076	
RootHeightScaler	0.535687	6920	5998	1	0.0394787	
SplitLumpNodesRevJumpSampler	0.0342569	136	3834	4	1	
SplitLumpNodesRevJumpSampler	0.0415598	162	3736	4	10	
SplitLumpNodesRevJumpSampler	0.0109235	44	3984	4	100	
TreeScaler	0.546278	543	451	1	0.0421708	
generation 6000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00293542	21	7133	6	none	
NeighborHeightNodeSwap	0.00316674	23	7240	6	none	
GlobalHeightSizeMixer	0.451587	555	674	1	0.0308475	
GlobalHeightSizeRateScaler	0.443633	547	686	1	0.0325572	
GlobalNodeHeightDirichletOperator	0.39991	6235	9356	1	0.000170458	
GlobalPopSizeScaler	0.447899	533	657	1	0.0588416	
NodeHeightDirichletOperator	0.659788	4796	2473	6	0.00664404	
NodeHeightMover	0.335736	2422	4792	6	0.00027122	
NodeHeightScaler	0.497829	3555	3586	6	0.108054	
NodeHeightSlideBumpScaler	0.5204	3801	3503	6	0.101611	
NodeHeightSlideBumpSwapScaler	0.560736	3933	3081	6	0.0919764	
RootHeightScaler	0.529484	8216	7301	1	0.0398901	
SplitLumpNodesRevJumpSampler	0.0348542	165	4569	4	1	
SplitLumpNodesRevJumpSampler	0.0402713	190	4528	4	10	
SplitLumpNodesRevJumpSampler	0.0102902	50	4809	4	100	
TreeScaler	0.543533	643	540	1	0.043004	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00299115	25	8333	6	none	
NeighborHeightNodeSwap	0.00307947	26	8417	6	none	
GlobalHeightSizeMixer	0.469161	677	766	1	0.0313963	
GlobalHeightSizeRateScaler	0.44375	639	801	1	0.0325249	
GlobalNodeHeightDirichletOperator	0.401368	7278	10855	1	0.000169545	
GlobalPopSizeScaler	0.45159	639	776	1	0.0590572	
NodeHeightDirichletOperator	0.654994	5574	2936	6	0.0068638	
NodeHeightMover	0.344512	2897	5512	6	0.00026883	
NodeHeightScaler	0.493075	4094	4209	6	0.108593	
NodeHeightSlideBumpScaler	0.519086	4406	4082	6	0.102687	
NodeHeightSlideBumpSwapScaler	0.555502	4579	3664	6	0.0932821	
RootHeightScaler	0.526426	9522	8566	1	0.0403023	
SplitLumpNodesRevJumpSampler	0.0333032	184	5341	4	1	
SplitLumpNodesRevJumpSampler	0.0394689	217	5281	4	10	
SplitLumpNodesRevJumpSampler	0.0117001	66	5575	4	100	
TreeScaler	0.532562	736	646	1	0.0432678	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00272823	26	9504	6	none	
NeighborHeightNodeSwap	0.00321944	31	9598	6	none	
GlobalHeightSizeMixer	0.472273	775	866	1	0.0317352	
GlobalHeightSizeRateScaler	0.444176	736	921	1	0.0325254	
GlobalNodeHeightDirichletOperator	0.403087	8358	12377	1	0.000168858	
GlobalPopSizeScaler	0.44521	711	886	1	0.0588048	
NodeHeightDirichletOperator	0.65295	6331	3365	6	0.0070444	
NodeHeightMover	0.346941	3340	6287	6	0.000266195	
NodeHeightScaler	0.491158	4694	4863	6	0.109315	
NodeHeightSlideBumpScaler	0.516269	5014	4698	6	0.103604	
NodeHeightSlideBumpSwapScaler	0.548752	5144	4230	6	0.094022	
RootHeightScaler	0.524046	10853	9857	1	0.0406466	
SplitLumpNodesRevJumpSampler	0.0333808	211	6110	4	1	
SplitLumpNodesRevJumpSampler	0.0392126	247	6052	4	10	
SplitLumpNodesRevJumpSampler	0.0119472	77	6368	4	100	
TreeScaler	0.531741	846	745	1	0.043749	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00260417	28	10724	6	none	
NeighborHeightNodeSwap	0.0033355	36	10757	6	none	
GlobalHeightSizeMixer	0.46446	856	987	1	0.0315975	
GlobalHeightSizeRateScaler	0.437901	818	1050	1	0.0324828	
GlobalNodeHeightDirichletOperator	0.403226	9423	13946	1	0.00016799	
GlobalPopSizeScaler	0.448333	807	993	1	0.0589344	
NodeHeightDirichletOperator	0.648738	7068	3827	6	0.00720634	
NodeHeightMover	0.353343	3826	7002	6	0.000264935	
NodeHeightScaler	0.489354	5240	5468	6	0.109714	
NodeHeightSlideBumpScaler	0.513451	5592	5299	6	0.104351	
NodeHeightSlideBumpSwapScaler	0.539855	5723	4878	6	0.0946315	
RootHeightScaler	0.519945	12148	11216	1	0.0408964	
SplitLumpNodesRevJumpSampler	0.0326118	232	6882	4	1	
SplitLumpNodesRevJumpSampler	0.0388663	277	6850	4	10	
SplitLumpNodesRevJumpSampler	0.0115607	84	7182	4	100	
TreeScaler	0.522956	934	852	1	0.0439261	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00243146	29	11898	6	none	
NeighborHeightNodeSwap	0.00298408	36	12028	6	none	
GlobalHeightSizeMixer	0.468535	953	1081	1	0.0317464	
GlobalHeightSizeRateScaler	0.4372	912	1174	1	0.0324619	
GlobalNodeHeightDirichletOperator	0.401351	10399	15511	1	0.000167466	
GlobalPopSizeScaler	0.446756	902	1117	1	0.0588456	
NodeHeightDirichletOperator	0.646268	7836	4289	6	0.00735254	
NodeHeightMover	0.357072	4297	7737	6	0.000263385	
NodeHeightScaler	0.486625	5803	6122	6	0.109885	
NodeHeightSlideBumpScaler	0.510682	6167	5909	6	0.104871	
NodeHeightSlideBumpSwapScaler	0.537179	6314	5440	6	0.0952602	
RootHeightScaler	0.518604	13436	12472	1	0.0411407	
SplitLumpNodesRevJumpSampler	0.0324956	256	7622	4	1	
SplitLumpNodesRevJumpSampler	0.0401312	318	7606	4	10	
SplitLumpNodesRevJumpSampler	0.0114144	92	7968	4	100	
TreeScaler	0.521346	1038	953	1	0.0442131	
