generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
0	-100796.670562385683	9.1609862226875407	1	1	1	0.0279850439809414264	1	0.5	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001	0.00050000000000000001
10	-96899.5664526309702	28.6754077224684671	1	1	6	0.0248492027059491992	1	0.5	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554	0.000522005305698142554
20	-95098.4094155394851	34.6855867180986621	1	1	7	0.0229552758519454524	1	0.5	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973	0.00054826418400957973
30	-94180.6298430748429	35.8187952761286255	1	1	7	0.0216291222317824897	1	0.5	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703	0.000559779984027764703
40	-92766.8543832842261	37.398239787430839	1	1	7	0.0178305542303875721	1	0.5	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444	0.00057530740912487444
50	-89534.8224534906476	46.4930750057486719	1	1	9	0.0185638666768444156	1	0.5	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986	0.000615968942916165986
60	-88798.1791683945339	56.1385218964564956	1	1	11	0.0176616047349527072	1	0.5	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583	0.000654052701372974583
70	-88233.1942779686651	52.4795238653894032	1	1	10	0.0154519140407844199	1	0.5	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772
80	-87028.6722448073997	57.9741874831461956	1	1	11	0.0145061608184887687	1	0.5	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772	0.000668439048247057772
90	-86183.3065612282953	53.7272527197320926	1	1	10	0.0129686300006064004	1	0.5	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469	0.000685147596656692469
100	-85636.1112704416882	60.9175202652340104	1	1	11	0.0113973378920217295	1	0.5	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039	0.000712266699636159039
110	-85318.4033842957433	45.9935933255247988	1	1	8	0.0109184595706607584	1	0.5	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834	0.000707251246083852834
120	-85126.1502655815566	56.2488194086096769	1	1	10	0.00961026391071885706	1	0.5	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854	0.00074194774842595854
130	-84761.8366228108061	47.8383154804830681	1	1	8	0.00899815596054520488	1	0.5	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407	0.000762015986290994407
140	-84593.7434991153859	59.6607695128092743	1	1	10	0.00947516729005267073	1	0.5	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712	0.000765863518893537712
150	-84505.2296148345049	55.8324643979863779	1	1	9	0.0093551653239417349	1	0.5	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728	0.000765770563730046728
160	-84489.0248669368302	51.0626887614769842	1	1	8	0.00993659639486016953	1	0.5	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363	0.000756668361890930363
170	-84486.5524275423668	50.9596385777435472	1	1	8	0.00989092357356813681	1	0.5	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344	0.000758596881191205344
