burnin	sample_size	asdsf	psrf_tree_length	psrf_root_height	psrf_root_pop_size	ess_tree_length	ess_root_height	ess_root_pop_size
1	5000	0.216023	1.09964	1.92689	1.07785	312.759	86.5484	275.99
101	4500	0.219963	1.7469	2.25646	1.34665	90.7278	74.8474	152.808
201	4000	0.218991	1.74218	2.23578	1.34135	86.132	71.7289	143.331
301	3500	0.219245	1.74608	2.25538	1.34267	80.4049	66.3783	132.416
401	3000	0.219781	1.77781	2.33504	1.35559	73.8341	60.9414	123.3
501	2500	0.224249	1.85912	2.56318	1.37719	65.1871	54.0272	110.483
601	2000	0.233207	2.08302	3.82249	1.44696	60.9577	49.6501	100.132
701	1500	0.230151	2.0273	3.70342	1.41931	53.9935	44.7901	93.5035
801	1000	0.223702	1.98816	3.53126	1.38238	43.5548	35.6838	74.8592
901	500	0.210506	1.98869	3.02438	1.34272	31.9315	25.8182	55.3141
