generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0135028	17	1242	6.5	none	
NeighborHeightNodeSwap	0.00907029	12	1311	6.5	none	
GlobalHeightSizeMixer	0.433333	91	119	1	0.0311711	
GlobalHeightSizeRateScaler	0.506912	110	107	1	0.0268437	
GlobalNodeHeightDirichletOperator	0.35411	1034	1886	1	0.000362999	
GlobalPopSizeScaler	0.505051	100	98	1	0.0470297	
NodeHeightDirichletOperator	0.709828	910	372	6.5	0.00451113	
NodeHeightMover	0.174863	224	1057	6.5	0.000573475	
NodeHeightScaler	0.67171	888	434	6.5	0.0595466	
NodeHeightSlideBumpScaler	0.628616	804	475	6.5	0.0698753	
NodeHeightSlideBumpSwapScaler	0.57099	744	559	6.5	0.0759442	
RootHeightScaler	0.711644	2078	842	1	0.0282022	
SplitLumpNodesRevJumpSampler	0.0535714	48	848	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0413408	37	858	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00971922	9	917	4.33333	100	
TreeScaler	0.59596	118	80	1	0.0392648	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00664062	17	2543	6.5	none	
NeighborHeightNodeSwap	0.00453172	12	2636	6.5	none	
GlobalHeightSizeMixer	0.398533	163	246	1	0.0295292	
GlobalHeightSizeRateScaler	0.497573	205	207	1	0.0282288	
GlobalNodeHeightDirichletOperator	0.335986	1900	3755	1	0.000332707	
GlobalPopSizeScaler	0.479167	184	200	1	0.0480833	
NodeHeightDirichletOperator	0.705438	1868	780	6.5	0.00543953	
NodeHeightMover	0.192501	498	2089	6.5	0.000484124	
NodeHeightScaler	0.632418	1705	991	6.5	0.066764	
NodeHeightSlideBumpScaler	0.606345	1548	1005	6.5	0.076817	
NodeHeightSlideBumpSwapScaler	0.557519	1483	1177	6.5	0.0822975	
RootHeightScaler	0.728589	4126	1537	1	0.0346594	
SplitLumpNodesRevJumpSampler	0.0411899	72	1676	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0368272	65	1700	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00631458	11	1731	4.33333	100	
TreeScaler	0.544	204	171	1	0.0416544	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00437693	17	3867	6.5	none	
NeighborHeightNodeSwap	0.00302801	12	3951	6.5	none	
GlobalHeightSizeMixer	0.405451	238	349	1	0.0295336	
GlobalHeightSizeRateScaler	0.489633	307	320	1	0.028602	
GlobalNodeHeightDirichletOperator	0.333176	2827	5658	1	0.000318924	
GlobalPopSizeScaler	0.452962	260	314	1	0.0479596	
NodeHeightDirichletOperator	0.700407	2754	1178	6.5	0.00600491	
NodeHeightMover	0.21008	817	3072	6.5	0.000445634	
NodeHeightScaler	0.614428	2470	1550	6.5	0.0704988	
NodeHeightSlideBumpScaler	0.583247	2242	1602	6.5	0.0800022	
NodeHeightSlideBumpSwapScaler	0.537959	2140	1838	6.5	0.0846146	
RootHeightScaler	0.726877	6185	2324	1	0.0389096	
SplitLumpNodesRevJumpSampler	0.0344566	91	2550	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0354049	94	2561	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00736149	19	2562	4.33333	100	
TreeScaler	0.539655	313	267	1	0.0432981	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0032686	17	5184	6.5	none	
NeighborHeightNodeSwap	0.00231571	12	5170	6.5	none	
GlobalHeightSizeMixer	0.400249	321	481	1	0.0291814	
GlobalHeightSizeRateScaler	0.477738	397	434	1	0.0287937	
GlobalNodeHeightDirichletOperator	0.331314	3773	7615	1	0.00030825	
GlobalPopSizeScaler	0.459211	349	411	1	0.0482529	
NodeHeightDirichletOperator	0.695602	3606	1578	6.5	0.00640512	
NodeHeightMover	0.220662	1147	4051	6.5	0.000421082	
NodeHeightScaler	0.605239	3235	2110	6.5	0.0732106	
NodeHeightSlideBumpScaler	0.571844	2949	2208	6.5	0.0824471	
NodeHeightSlideBumpSwapScaler	0.535774	2868	2485	6.5	0.086888	
RootHeightScaler	0.719186	8198	3201	1	0.0419389	
SplitLumpNodesRevJumpSampler	0.0306036	108	3421	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0349986	124	3419	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00628033	22	3481	4.33333	100	
TreeScaler	0.519481	400	370	1	0.0440738	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00260496	17	6509	6.5	none	
NeighborHeightNodeSwap	0.00185214	12	6467	6.5	none	
GlobalHeightSizeMixer	0.38834	393	619	1	0.0286686	
GlobalHeightSizeRateScaler	0.45933	480	565	1	0.0285812	
GlobalNodeHeightDirichletOperator	0.329365	4648	9464	1	0.000300917	
GlobalPopSizeScaler	0.46209	451	525	1	0.0486391	
NodeHeightDirichletOperator	0.691655	4484	1999	6.5	0.00675423	
NodeHeightMover	0.232311	1507	4980	6.5	0.000406392	
NodeHeightScaler	0.600776	4027	2676	6.5	0.0756733	
NodeHeightSlideBumpScaler	0.568579	3677	2790	6.5	0.0844784	
NodeHeightSlideBumpSwapScaler	0.529211	3560	3167	6.5	0.0881373	
RootHeightScaler	0.711207	10065	4087	1	0.0441303	
SplitLumpNodesRevJumpSampler	0.0290315	128	4281	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0344906	151	4227	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00645608	28	4309	4.33333	100	
TreeScaler	0.524211	498	452	1	0.0452383	
generation 6000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00216947	17	7819	6.5	none	
NeighborHeightNodeSwap	0.00155019	12	7729	6.5	none	
GlobalHeightSizeMixer	0.384934	465	743	1	0.0283343	
GlobalHeightSizeRateScaler	0.460692	586	686	1	0.0287036	
GlobalNodeHeightDirichletOperator	0.331398	5593	11284	1	0.000295887	
GlobalPopSizeScaler	0.453469	536	646	1	0.0485846	
NodeHeightDirichletOperator	0.684806	5386	2479	6.5	0.0070473	
NodeHeightMover	0.241809	1882	5901	6.5	0.000395023	
NodeHeightScaler	0.590071	4766	3311	6.5	0.077222	
NodeHeightSlideBumpScaler	0.560263	4351	3415	6.5	0.0856881	
NodeHeightSlideBumpSwapScaler	0.528156	4230	3779	6.5	0.0892699	
RootHeightScaler	0.703752	11911	5014	1	0.0459642	
SplitLumpNodesRevJumpSampler	0.0271657	143	5121	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0318581	167	5075	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00617641	32	5149	4.33333	100	
TreeScaler	0.516214	589	552	1	0.045575	
generation 7000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00186916	17	9078	6.5	none	
NeighborHeightNodeSwap	0.0013197	12	9081	6.5	none	
GlobalHeightSizeMixer	0.388612	546	859	1	0.0281355	
GlobalHeightSizeRateScaler	0.470226	687	774	1	0.0290341	
GlobalNodeHeightDirichletOperator	0.333062	6555	13126	1	0.000291352	
GlobalPopSizeScaler	0.460479	635	744	1	0.0490277	
NodeHeightDirichletOperator	0.68047	6261	2940	6.5	0.00729091	
NodeHeightMover	0.247507	2259	6868	6.5	0.000385091	
NodeHeightScaler	0.582624	5472	3920	6.5	0.078392	
NodeHeightSlideBumpScaler	0.553833	5036	4057	6.5	0.0866827	
NodeHeightSlideBumpSwapScaler	0.525347	4881	4410	6.5	0.0901249	
RootHeightScaler	0.695502	13716	6005	1	0.0474401	
SplitLumpNodesRevJumpSampler	0.0267843	164	5959	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0313623	192	5930	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00547082	33	5999	4.33333	100	
TreeScaler	0.503376	671	662	1	0.04545	
generation 8000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00163698	17	10368	6.5	none	
NeighborHeightNodeSwap	0.00115485	12	10379	6.5	none	
GlobalHeightSizeMixer	0.395146	635	972	1	0.0281021	
GlobalHeightSizeRateScaler	0.472222	782	874	1	0.0291479	
GlobalNodeHeightDirichletOperator	0.333541	7508	15002	1	0.000287393	
GlobalPopSizeScaler	0.46227	729	848	1	0.0492617	
NodeHeightDirichletOperator	0.675121	7107	3420	6.5	0.00749	
NodeHeightMover	0.25362	2662	7834	6.5	0.000376844	
NodeHeightScaler	0.576499	6172	4534	6.5	0.0794069	
NodeHeightSlideBumpScaler	0.55082	5712	4658	6.5	0.0876239	
NodeHeightSlideBumpSwapScaler	0.522401	5527	5053	6.5	0.0909248	
RootHeightScaler	0.688532	15514	7018	1	0.0486798	
SplitLumpNodesRevJumpSampler	0.0259312	181	6799	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0307231	215	6783	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00564726	39	6867	4.33333	100	
TreeScaler	0.500649	772	770	1	0.0457351	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00145274	17	11685	6.5	none	
NeighborHeightNodeSwap	0.00102898	12	11650	6.5	none	
GlobalHeightSizeMixer	0.392049	710	1101	1	0.0279467	
GlobalHeightSizeRateScaler	0.474283	876	971	1	0.0292317	
GlobalNodeHeightDirichletOperator	0.335016	8496	16864	1	0.0002843	
GlobalPopSizeScaler	0.45098	805	980	1	0.0489252	
NodeHeightDirichletOperator	0.672578	7964	3877	6.5	0.00767472	
NodeHeightMover	0.260154	3068	8725	6.5	0.000371046	
NodeHeightScaler	0.574273	6893	5110	6.5	0.0804096	
NodeHeightSlideBumpScaler	0.546249	6372	5293	6.5	0.0883824	
NodeHeightSlideBumpSwapScaler	0.521408	6223	5712	6.5	0.0916699	
RootHeightScaler	0.682404	17316	8059	1	0.049829	
SplitLumpNodesRevJumpSampler	0.0271718	213	7626	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0307323	243	7664	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00539846	42	7738	4.33333	100	
TreeScaler	0.485649	846	896	1	0.0457223	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
