burnin	sample_size	asdsf	psrf_tree_length	psrf_root_height	psrf_root_pop_size	ess_tree_length	ess_root_height	ess_root_pop_size
1	5000	0.00459405	1.00393	1.00019	1.0013	687.44	593.345	1170.19
101	4500	0.00264793	1.00057	0.999565	0.999976	2886.1	3301.06	1817.4
201	4000	0.00353791	1.00075	0.999704	1.00024	2232.7	3425.76	1847.95
301	3500	0.00343678	1.00156	0.999918	1.00057	1675.37	2530.07	1556.56
401	3000	0.0029235	1.0017	0.999917	1.00011	1667.47	2333.01	1705.67
501	2500	0.00174678	1.00161	0.999806	1.00066	1335.59	1964.64	1120.99
601	2000	0.0033068	1.00269	0.999809	1.00217	1165.43	1468.49	827.384
701	1500	0.00284268	1.00441	0.999491	1.00001	763.408	920.198	720.145
801	1000	0.00402728	1.00592	1.00046	1.00079	509.676	738.985	511.613
901	500	0.00711767	1.01129	1.00457	1.0081	253.471	371.124	294.625
