generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0112108	15	1323	6.5	none	
NeighborHeightNodeSwap	0.0132062	18	1345	6.5	none	
GlobalHeightSizeMixer	0.502538	99	98	1	0.0426481	
GlobalHeightSizeRateScaler	0.539535	116	99	1	0.0302108	
GlobalNodeHeightDirichletOperator	0.31859	886	1895	1	0.000268883	
GlobalPopSizeScaler	0.488479	106	111	1	0.0591701	
NodeHeightDirichletOperator	0.697656	893	387	6.5	0.00501856	
NodeHeightMover	0.164248	215	1094	6.5	0.000545133	
NodeHeightScaler	0.617188	790	490	6.5	0.0744026	
NodeHeightSlideBumpScaler	0.589888	735	511	6.5	0.0788635	
NodeHeightSlideBumpSwapScaler	0.641654	838	468	6.5	0.0731357	
RootHeightScaler	0.60824	1683	1084	1	0.0579246	
SplitLumpNodesRevJumpSampler	0.0671551	55	764	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0674286	59	816	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0234467	20	833	4.33333	100	
TreeScaler	0.580913	140	101	1	0.040363	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00705795	19	2673	6.5	none	
NeighborHeightNodeSwap	0.00702923	19	2684	6.5	none	
GlobalHeightSizeMixer	0.457895	174	206	1	0.0419514	
GlobalHeightSizeRateScaler	0.503704	204	201	1	0.0307891	
GlobalNodeHeightDirichletOperator	0.319275	1779	3793	1	0.000245628	
GlobalPopSizeScaler	0.490099	198	206	1	0.0615449	
NodeHeightDirichletOperator	0.68419	1757	811	6.5	0.00592134	
NodeHeightMover	0.206593	539	2070	6.5	0.000471345	
NodeHeightScaler	0.60739	1578	1020	6.5	0.0831059	
NodeHeightSlideBumpScaler	0.574841	1444	1068	6.5	0.0856639	
NodeHeightSlideBumpSwapScaler	0.617923	1648	1019	6.5	0.0820277	
RootHeightScaler	0.589693	3307	2301	1	0.0636958	
SplitLumpNodesRevJumpSampler	0.056535	93	1552	4.33333	1	
SplitLumpNodesRevJumpSampler	0.062101	107	1616	4.33333	10	
SplitLumpNodesRevJumpSampler	0.0217513	39	1754	4.33333	100	
TreeScaler	0.584862	255	181	1	0.043358	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00625469	25	3972	6.5	none	
NeighborHeightNodeSwap	0.00541472	22	4041	6.5	none	
GlobalHeightSizeMixer	0.452504	262	317	1	0.0421846	
GlobalHeightSizeRateScaler	0.504854	312	306	1	0.0317543	
GlobalNodeHeightDirichletOperator	0.325066	2713	5633	1	0.000235221	
GlobalPopSizeScaler	0.490818	294	305	1	0.0624635	
NodeHeightDirichletOperator	0.673528	2585	1253	6.5	0.00643436	
NodeHeightMover	0.22338	879	3056	6.5	0.000435618	
NodeHeightScaler	0.598464	2337	1568	6.5	0.0879294	
NodeHeightSlideBumpScaler	0.571841	2181	1633	6.5	0.0905477	
NodeHeightSlideBumpSwapScaler	0.598259	2405	1615	6.5	0.0865416	
RootHeightScaler	0.577757	4852	3546	1	0.0665492	
