generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0157255	22	1377	7	none	
NeighborHeightNodeSwap	0.0172662	24	1366	7	none	
GlobalHeightSizeMixer	0.446512	96	119	1	0.0468878	
GlobalHeightSizeRateScaler	0.6	117	78	1	0.0353022	
GlobalNodeHeightDirichletOperator	0.318035	984	2110	1	0.000291786	
GlobalPopSizeScaler	0.578475	129	94	1	0.0520981	
NodeHeightDirichletOperator	0.74121	1054	368	7	0.00571006	
NodeHeightMover	0.240371	337	1065	7	0.000601884	
NodeHeightScaler	0.665951	931	467	7	0.0697002	
NodeHeightSlideBumpScaler	0.61779	889	550	7	0.0810756	
NodeHeightSlideBumpSwapScaler	0.664785	942	475	7	0.0671077	
RootHeightScaler	0.670712	2045	1004	1	0.0422693	
SplitLumpNodesRevJumpSampler	0.043299	42	928	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0490605	47	911	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0203644	19	914	4.66667	100	
TreeScaler	0.579439	124	90	1	0.0481304	
generation 2000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00910364	26	2830	7	none	
NeighborHeightNodeSwap	0.00972622	27	2749	7	none	
GlobalHeightSizeMixer	0.465686	190	218	1	0.0479785	
GlobalHeightSizeRateScaler	0.526316	220	198	1	0.0368781	
GlobalNodeHeightDirichletOperator	0.312131	1904	4196	1	0.000266487	
GlobalPopSizeScaler	0.555556	245	196	1	0.0577525	
NodeHeightDirichletOperator	0.728346	2035	759	7	0.00686125	
NodeHeightMover	0.258778	737	2111	7	0.000532143	
NodeHeightScaler	0.636553	1832	1046	7	0.0782109	
NodeHeightSlideBumpScaler	0.598246	1705	1145	7	0.0888114	
NodeHeightSlideBumpSwapScaler	0.642883	1802	1001	7	0.0769273	
RootHeightScaler	0.662044	4010	2047	1	0.0492199	
SplitLumpNodesRevJumpSampler	0.0380952	72	1818	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0397209	74	1789	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0184502	35	1862	4.66667	100	
TreeScaler	0.539568	225	192	1	0.0502609	
generation 3000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00828402	35	4190	7	none	
NeighborHeightNodeSwap	0.00720461	30	4134	7	none	
GlobalHeightSizeMixer	0.451987	273	331	1	0.0476481	
GlobalHeightSizeRateScaler	0.517018	319	298	1	0.0378018	
GlobalNodeHeightDirichletOperator	0.314242	2886	6298	1	0.000253824	
GlobalPopSizeScaler	0.54908	358	294	1	0.0598445	
NodeHeightDirichletOperator	0.726598	3035	1142	7	0.00765959	
NodeHeightMover	0.263976	1138	3173	7	0.000495935	
NodeHeightScaler	0.61622	2667	1661	7	0.0830492	
NodeHeightSlideBumpScaler	0.590909	2522	1746	7	0.0934267	
NodeHeightSlideBumpSwapScaler	0.632075	2680	1560	7	0.0824206	
RootHeightScaler	0.656795	5988	3129	1	0.0534269	
SplitLumpNodesRevJumpSampler	0.0377227	108	2755	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0419054	117	2675	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0164797	47	2805	4.66667	100	
TreeScaler	0.517857	319	297	1	0.0515327	
generation 4000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00757976	43	5630	7	none	
NeighborHeightNodeSwap	0.00637168	36	5614	7	none	
GlobalHeightSizeMixer	0.449749	358	438	1	0.0470754	
GlobalHeightSizeRateScaler	0.48533	397	421	1	0.0377433	
GlobalNodeHeightDirichletOperator	0.319348	3882	8274	1	0.000245687	
GlobalPopSizeScaler	0.547344	474	392	1	0.0619089	
NodeHeightDirichletOperator	0.716971	3967	1566	7	0.00822401	
NodeHeightMover	0.27654	1589	4157	7	0.000477995	
NodeHeightScaler	0.610676	3512	2239	7	0.0866491	
NodeHeightSlideBumpScaler	0.575306	3285	2425	7	0.0958531	
NodeHeightSlideBumpSwapScaler	0.617808	3490	2159	7	0.0853565	
RootHeightScaler	0.646568	7828	4279	1	0.0560596	
SplitLumpNodesRevJumpSampler	0.0342084	129	3642	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0404422	150	3559	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0149606	57	3753	4.66667	100	
TreeScaler	0.495788	412	419	1	0.0519443	
generation 5000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00634607	45	7046	7	none	
NeighborHeightNodeSwap	0.00606061	43	7052	7	none	
GlobalHeightSizeMixer	0.448448	448	551	1	0.0473239	
GlobalHeightSizeRateScaler	0.477162	491	538	1	0.0377886	
GlobalNodeHeightDirichletOperator	0.323885	4902	10233	1	0.000240144	
GlobalPopSizeScaler	0.538104	579	497	1	0.0631719	
NodeHeightDirichletOperator	0.709127	4949	2030	7	0.00870713	
