,Unnamed: 0,Cluster1_1,Cluster2_1,Cluster1_2,Cluster2_2,Cluster1_3,Cluster2_3,Cluster1_4,Cluster2_4
0,aht1975,0.0254,0.9746,0.0106,0.9894,0.9785,0.0215,0.9971,0.0029
1,aht2456,0.9065,0.0935,0.9804,0.0196,0.1253,0.8747,0.1601,0.8399
2,aht2885,0.9927,0.0073,0.996,0.004,0.001,0.999,0.001,0.999
3,aht3419,0.9239,0.0761,0.9562,0.0438,0.1237,0.8763,0.0985,0.9015
4,aht3421,0.9855,0.0145,0.9939,0.0061,0.0798,0.9202,0.1528,0.8472
5,aht3428,0.9919,0.0081,0.9931,0.0069,0.002,0.998,0.001,0.999
6,aht3459,0.0117,0.9883,0.0124,0.9876,0.9064,0.0936,0.9336,0.0664
7,aht3460,0.0095,0.9905,0.006,0.994,0.9985,0.0015,0.9979,0.0021
8,aht3461,0.0146,0.9854,0.0443,0.9557,0.945,0.055,0.998,0.002
9,aht3462,0.0125,0.9875,0.0124,0.9876,0.9973,0.0027,0.998,0.002
10,aht3463,0.0129,0.9871,0.0037,0.9963,0.8912,0.1088,0.9595,0.0405
11,aht3833,0.9883,0.0117,0.9936,0.0064,0.0416,0.9584,0.0033,0.9967
12,aht3997,0.982,0.018,0.9931,0.0069,0.1316,0.8684,0.1317,0.8683
13,aht3998,0.9816,0.0184,0.9536,0.0464,0.1268,0.8732,0.1245,0.8755
14,aht5277,0.9909,0.0091,0.9953,0.0047,0.001,0.999,0.002,0.998
15,aht5278,0.9451,0.0549,0.9957,0.0043,0.001,0.999,0.0026,0.9974
16,kac016,0.9939,0.0061,0.9961,0.0039,0.0015,0.9985,0.001,0.999
17,kac038,0.9771,0.0229,0.992,0.008,0.004,0.996,0.003,0.997
18,kac039,0.9905,0.0095,0.9932,0.0068,0.0046,0.9954,0.001,0.999
19,kac040,0.9778,0.0222,0.9932,0.0068,0.1068,0.8932,0.0812,0.9188
20,kac048,0.9897,0.0103,0.9964,0.0036,0.0011,0.9989,0.001,0.999
21,kac049,0.6802,0.3198,0.9813,0.0187,0.0493,0.9507,0.0308,0.9692
22,kac070,0.0133,0.9867,0.0115,0.9885,0.7791,0.2209,0.8139,0.1861
23,kac074,0.9904,0.0096,0.9942,0.0058,0.0075,0.9925,0.002,0.998
24,kac075,0.9439,0.0561,0.9689,0.0311,0.0605,0.9395,0.0522,0.9478
25,kac078,0.0115,0.9885,0.0049,0.9951,0.999,0.001,0.999,0.001
26,kac081,0.0149,0.9851,0.0046,0.9954,0.999,0.001,0.999,0.001
27,kac082,0.0065,0.9935,0.0071,0.9929,0.999,0.001,0.999,0.001
28,kac083,0.0314,0.9686,0.0205,0.9795,0.999,0.001,0.999,0.001
29,kac084,0.0058,0.9942,0.0045,0.9955,0.999,0.001,0.999,0.001
30,kac086,0.0155,0.9845,0.01,0.99,0.999,0.001,0.999,0.001
31,kac087,0.0075,0.9925,0.0051,0.9949,0.998,0.002,0.999,0.001
32,kac089,0.0053,0.9947,0.0039,0.9961,0.999,0.001,0.999,0.001
33,kac090,0.011,0.989,0.006,0.994,0.999,0.001,0.999,0.001
34,kac091,0.0081,0.9919,0.0088,0.9912,0.999,0.001,0.999,0.001
35,kac093,0.0089,0.9911,0.0057,0.9943,0.9982,0.0018,0.999,0.001
36,kac094,0.0322,0.9678,0.0573,0.9427,0.999,0.001,0.999,0.001
37,kac095,0.006,0.994,0.0031,0.9969,0.999,0.001,0.998,0.002
38,kac096,0.0088,0.9912,0.0051,0.9949,0.999,0.001,0.999,0.001
39,kac097,0.01,0.99,0.0071,0.9929,0.999,0.001,0.999,0.001
40,kac098,0.0071,0.9929,0.0053,0.9947,0.999,0.001,0.999,0.001
41,kac099,0.0082,0.9918,0.0107,0.9893,0.999,0.001,0.999,0.001
42,kac100,0.9938,0.0062,0.9965,0.0035,0.0079,0.9921,0.0058,0.9942
43,kac101,0.007,0.993,0.0032,0.9968,0.999,0.001,0.999,0.001
44,kac102,0.9821,0.0179,0.9933,0.0067,0.011,0.989,0.0128,0.9872
45,kac103,0.993,0.007,0.9962,0.0038,0.012,0.988,0.0105,0.9895
46,kac104,0.9888,0.0112,0.9941,0.0059,0.0746,0.9254,0.0165,0.9835
47,kac105,0.01,0.99,0.0074,0.9926,0.999,0.001,0.999,0.001
48,kac106,0.0129,0.9871,0.0069,0.9931,0.999,0.001,0.9984,0.0016
49,kac107,0.0116,0.9884,0.0071,0.9929,0.999,0.001,0.999,0.001
50,kac108,0.9652,0.0348,0.9587,0.0413,0.0892,0.9108,0.0794,0.9206
51,kac110,0.0092,0.9908,0.0063,0.9937,0.999,0.001,0.999,0.001
52,kac111,0.3448,0.6552,0.2651,0.7349,0.5885,0.4115,0.5342,0.4658
53,kac116,0.0122,0.9878,0.0054,0.9946,0.999,0.001,0.9976,0.0024
54,kac121,0.9913,0.0087,0.9947,0.0053,0.0021,0.9979,0.0018,0.9982
55,kac123,0.9782,0.0218,0.9919,0.0081,0.0176,0.9824,0.0276,0.9724
56,kac124,0.9928,0.0072,,,0.0043,0.9957,,
57,kac133,0.9538,0.0462,0.9341,0.0659,0.0196,0.9804,0.0089,0.9911
58,kac134,0.9601,0.0399,0.9892,0.0108,0.0061,0.9939,0.002,0.998
59,kac135,0.9935,0.0065,0.9945,0.0055,0.002,0.998,0.002,0.998
60,kac136,0.9929,0.0071,0.9934,0.0066,0.0801,0.9199,0.0389,0.9611
61,kac138,0.0471,0.9529,0.6602,0.3398,0.5333,0.4667,0.5495,0.4505
62,kac139,0.0091,0.9909,0.0037,0.9963,0.9892,0.0108,0.998,0.002
63,kac140,0.9889,0.0111,0.996,0.004,0.0224,0.9776,0.0029,0.9971
64,kac141,0.8782,0.1218,0.9829,0.0171,0.006,0.994,0.0495,0.9505
65,kac142,0.9859,0.0141,0.9896,0.0104,0.0036,0.9964,0.0491,0.9509
66,kac143,0.9392,0.0608,0.9799,0.0201,0.002,0.998,0.001,0.999
67,kac144,0.9935,0.0065,0.993,0.007,0.003,0.997,0.001,0.999
68,kac145,0.993,0.007,0.9949,0.0051,0.002,0.998,0.004,0.996
69,kac146,0.9929,0.0071,0.9939,0.0061,0.002,0.998,0.001,0.999
70,kac147,0.9951,0.0049,0.9957,0.0043,0.0036,0.9964,0.0534,0.9466
71,kac148,0.9923,0.0077,0.9944,0.0056,0.002,0.998,0.001,0.999
72,kac149,0.9951,0.0049,0.9707,0.0293,0.003,0.997,0.0022,0.9978
