,parameter,mean,std,median,5.0%,95.0%,n_eff,r_hat
0,alpha_0,0.17413537207157512,0.40646016198858664,0.1788265346706736,-0.4399597581756219,0.833077504912748,9.731985965391617,1.1678409202625488
1,alpha_1,-0.10859248379325506,0.4307707949509427,-0.046180970115561645,-0.9661762304522051,0.4811055823598902,66.96710149331139,1.0355264642910584
2,alpha_2,-0.08470996473457913,0.3954500509590363,0.02885512611775121,-0.9829502138677337,0.323252571816864,904.4246911110212,1.0162836583773427
3,alpha_3,0.009294351553771145,0.4746984324280227,0.11525682296536721,-0.9905644135253974,0.5712336835264775,74.33385083416528,1.0331785771537658
4,alpha_4,0.14452836470946998,0.4373532723325083,0.16292120418217523,-0.5087473961811334,0.8161378042367216,27.512712125107686,1.0611858567556627
5,alpha_5,-0.18232387467059544,0.3925666601662002,-0.1289131759178264,-0.8853225078759097,0.4289533299646288,8.677540862556468,1.1864103002463422
6,alpha_6,-0.09158263621969802,0.3895577573964456,-0.01898875380769731,-0.9514434476670984,0.38221960126790056,467.67641616585865,1.0167538867002668
7,alpha_7,0.28247216603236214,0.2808030693099017,0.32913071589990117,0.09228002888502021,0.5600101697025107,3708.8994081449546,1.0062920254481196
8,alpha_8,0.12629973685851104,0.4852197079116802,0.2913332407702185,-0.9926100835324824,0.5742261533966907,3496.5588548644882,1.0017509834062235
9,alpha_9,0.05187068661471592,0.38844754435576523,0.05827172398855568,-0.5459085155844559,0.6827372630103463,4379.3766719065725,1.0001570775996975
10,alpha_10,0.011857991799281459,0.37870390524005354,0.030299731076857683,-0.5517620534410284,0.6137228620785067,77.9674058852138,1.0351010792792847
11,alpha_11,0.1031412319103155,0.522304715072112,0.20751407250106302,-0.9883204944088325,0.791044592594421,67.55895528838866,1.0353543861538819
12,alpha_12,0.09082248030622586,0.3508537169774609,0.17030084301422865,-0.2504391732175142,0.5390578906704755,1813.543646042807,1.011609804347524
13,alpha_13,-0.12047226488440393,0.37395071027336796,-0.07834447768292635,-0.6751519429546886,0.5485234814512971,9.23718955266779,1.1750263274329933
14,alpha_14,-0.026706144027160223,0.3602773261868255,0.011759365992369236,-0.5288024223592384,0.6219277579754774,27.33712626480523,1.0647096491269867
15,alpha_15,-0.2044366375908403,0.3592309347218272,-0.17950269489420323,-0.730862378057837,0.42017014508450373,43.435009156783856,1.0445716652777994
16,alpha_16,0.021908641018556965,0.3919123024239629,0.02434907105525494,-0.6444649785656255,0.6200373090697586,4390.583268776426,1.0001381897122814
17,alpha_17,0.028380151160659117,0.41416111696554636,0.043217681959175136,-0.5846946756161214,0.7340973387521439,19.166041343281787,1.082412152629892
18,alpha_18,-0.01219008424183178,0.4937616471638748,0.000702464377285069,-0.7364099388020685,0.9161637990332201,8.501281907601486,1.1935086484335158
19,alpha_19,-0.06498759949516372,0.37839700494750583,-0.05071487970359223,-0.6420259139711105,0.6031306089523056,8.650824563692495,1.1891309847404836
20,alpha_20,0.3432100056941592,0.28599803151625897,0.3940251756347227,0.14815734873698472,0.6354071699344771,2846.0869350147273,1.0083285655583851
21,alpha_21,-0.08086839868035267,0.41740641201781103,-0.005647839812371064,-0.9789420541650957,0.44565525816837986,35.88665522294975,1.0537042291253378
22,alpha_22,0.11764372962936144,0.46755984316182847,0.1604882680088171,-0.6161700662187705,0.8548483446453596,13.379344291743232,1.1182457925042495
23,alpha_23,0.04505059897128234,0.4374412161018636,0.07354028663291547,-0.6136498872182664,0.761427778290576,22.872056085130502,1.0757144667737242
24,alpha_24,-0.005382387939154278,0.408946004928872,0.008564742358845369,-0.608290161542571,0.6946016682527633,4228.014111756117,1.0009743945288032
